,Alabama,,,,Alaska,,,,Arizona,,,,Arkansas,,,,California,,,,Colorado,,,,Connecticut,,,,Delaware,,,,District of Columbia,,,,Florida,,,,Georgia,,,,Hawaii,,,,Idaho,,,,Illinois,,,,Indiana,,,,Iowa,,,,Kansas,,,,Kentucky,,,,Louisiana,,,,Maine,,,,Maryland,,,,Massachusetts,,,,Michigan,,,,Minnesota,,,,Mississippi,,,,Missouri,,,,Montana,,,,Nebraska,,,,Nevada,,,,New Hampshire,,,,New Jersey,,,,New Mexico,,,,New York,,,,North Carolina,,,,North Dakota,,,,Ohio,,,,Oklahoma,,,,Oregon,,,,Pennsylvania,,,,Rhode Island,,,,South Carolina,,,,South Dakota,,,,Tennessee,,,,Texas,,,,Utah,,,,Vermont,,,,Virginia,,,,Washington,,,,West Virginia,,,,Wisconsin,,,,Wyoming,,,,Puerto Rico,,,
Filipino,"7,149","±2,101",0.1%,±0.1,"25,339","±3,346",3.5%,±0.5,"46,314","±7,174",0.6%,±0.1,"6,134","±1,515",0.2%,±0.1,"1,328,347","±33,353",3.4%,±0.1,"23,481","±3,956",0.4%,±0.1,"15,296","±3,930",0.4%,±0.1,"3,367","±1,137",0.3%,±0.1,"2,436",±940,0.3%,±0.1,"111,556","±7,473",0.5%,±0.1,"24,724","±3,866",0.2%,±0.1,"221,724","±15,215",15.7%,±1.1,"2,786",±873,0.2%,±0.1,"126,628","±10,428",1.0%,±0.1,"17,276","±3,665",0.3%,±0.1,"5,958","±1,897",0.2%,±0.1,"5,768","±1,656",0.2%,±0.1,"6,747","±1,994",0.2%,±0.1,"7,887","±2,030",0.2%,±0.1,"2,161",±760,0.2%,±0.1,"49,651","±5,539",0.8%,±0.1,"17,344","±4,007",0.3%,±0.1,"22,107","±2,747",0.2%,±0.1,"13,952","±4,189",0.2%,±0.1,"4,736","±1,821",0.2%,±0.1,"17,701","±3,455",0.3%,±0.1,"1,757",±773,0.2%,±0.1,"2,908","±1,133",0.2%,±0.1,"134,402","±8,131",4.4%,±0.3,"3,633","±1,407",0.3%,±0.1,"105,361","±7,398",1.2%,±0.1,"10,023","±2,820",0.5%,±0.1,"116,857","±8,042",0.6%,±0.1,"28,599","±4,151",0.3%,±0.1,"2,023","±1,139",0.3%,±0.1,"23,316","±4,883",0.2%,±0.1,"9,436","±1,983",0.2%,±0.1,"21,073","±4,378",0.5%,±0.1,"27,327","±4,116",0.2%,±0.1,"2,183",±774,0.2%,±0.1,"11,985","±2,674",0.2%,±0.1,"1,719",±609,0.2%,±0.1,"12,151","±2,382",0.2%,±0.1,"139,905","±9,951",0.5%,±0.1,"10,257","±2,191",0.3%,±0.1,"1,029",±560,0.2%,±0.1,"71,823","±6,239",0.8%,±0.1,"112,951","±9,731",1.5%,±0.1,"2,656",±945,0.1%,±0.1,"12,668","±2,274",0.2%,±0.1,N,N,N,N,N,N,N,N
Japanese,"2,065","±1,179",0.0%,±0.1,"2,272","±1,159",0.3%,±0.2,"9,742","±1,818",0.1%,±0.1,"1,249",±648,0.0%,±0.1,"252,193","±10,817",0.6%,±0.1,"11,263","±2,062",0.2%,±0.1,"3,166","±1,782",0.1%,±0.1,601,±367,0.1%,±0.1,499,±464,0.1%,±0.1,"13,500","±2,894",0.1%,±0.1,"10,103","±2,565",0.1%,±0.1,"172,049","±7,768",12.2%,±0.5,"2,186","±1,119",0.1%,±0.1,"21,568","±3,365",0.2%,±0.1,"5,255","±1,837",0.1%,±0.1,"1,087",±682,0.0%,±0.1,"3,638","±1,574",0.1%,±0.1,"4,777","±1,409",0.1%,±0.1,"2,109",±832,0.0%,±0.1,891,±488,0.1%,±0.1,"7,689","±1,779",0.1%,±0.1,"11,368","±2,657",0.2%,±0.1,"12,197","±2,632",0.1%,±0.1,"3,621","±1,016",0.1%,±0.1,929,±783,0.0%,±0.1,"2,866",±926,0.0%,±0.1,"1,316",±674,0.1%,±0.1,"2,336",±916,0.1%,±0.1,"14,388","±3,429",0.5%,±0.1,"1,003",±480,0.1%,±0.1,"14,230","±3,109",0.2%,±0.1,"2,192",±982,0.1%,±0.1,"31,821","±4,398",0.2%,±0.1,"7,827","±2,347",0.1%,±0.1,608,±395,0.1%,±0.1,"9,017","±2,059",0.1%,±0.1,"2,785",±875,0.1%,±0.1,"14,205","±2,317",0.3%,±0.1,"6,682","±1,412",0.1%,±0.1,"1,728","±1,151",0.2%,±0.1,"1,780","±1,018",0.0%,±0.1,508,±600,0.1%,±0.1,"3,253",±936,0.0%,±0.1,"21,823","±3,352",0.1%,±0.1,"7,008","±1,952",0.2%,±0.1,352,±209,0.1%,±0.1,"10,524","±1,719",0.1%,±0.1,"37,804","±4,229",0.5%,±0.1,393,±263,0.0%,±0.1,"2,893",±898,0.0%,±0.1,N,N,N,N,N,N,N,N
Korean,"12,376","±2,235",0.3%,±0.1,"5,929","±2,000",0.8%,±0.3,"16,047","±3,138",0.2%,±0.1,"3,209","±1,565",0.1%,±0.1,"467,209","±18,961",1.2%,±0.1,"24,033","±3,284",0.4%,±0.1,"12,134","±3,174",0.3%,±0.1,"2,425","±1,137",0.2%,±0.1,"3,877","±1,175",0.5%,±0.2,"24,762","±3,989",0.1%,±0.1,"52,871","±7,504",0.5%,±0.1,"24,271","±3,622",1.7%,±0.3,"1,983","±1,090",0.1%,±0.1,"58,037","±5,955",0.5%,±0.1,"15,917","±3,522",0.2%,±0.1,"7,478","±1,974",0.2%,±0.1,"4,201","±1,434",0.1%,±0.1,"4,844","±1,437",0.1%,±0.1,"2,634","±1,064",0.1%,±0.1,687,±454,0.1%,±0.1,"40,281","±4,234",0.7%,±0.1,"23,560","±3,176",0.3%,±0.1,"27,834","±4,046",0.3%,±0.1,"14,644","±2,176",0.3%,±0.1,"1,314",±717,0.0%,±0.1,"8,742","±2,367",0.1%,±0.1,"1,071",±450,0.1%,±0.1,"4,512","±1,302",0.2%,±0.1,"13,907","±2,471",0.5%,±0.1,"2,497","±1,134",0.2%,±0.1,"98,170","±7,529",1.1%,±0.1,"2,329","±1,005",0.1%,±0.1,"121,947","±7,705",0.6%,±0.1,"22,493","±4,063",0.2%,±0.1,881,±471,0.1%,±0.1,"15,358","±2,644",0.1%,±0.1,"5,037","±1,187",0.1%,±0.1,"20,794","±3,950",0.5%,±0.1,"42,660","±4,602",0.3%,±0.1,"2,637","±1,317",0.2%,±0.1,"5,229","±1,331",0.1%,±0.1,"1,564","±1,008",0.2%,±0.1,"10,455","±2,075",0.2%,±0.1,"78,971","±6,711",0.3%,±0.1,"5,053","±2,003",0.2%,±0.1,465,±356,0.1%,±0.1,"65,971","±6,706",0.8%,±0.1,"68,788","±6,519",0.9%,±0.1,"1,283",±908,0.1%,±0.1,"7,999","±1,826",0.1%,±0.1,N,N,N,N,N,N,N,N
Vietnamese,"7,456","±1,761",0.2%,±0.1,"1,013",±685,0.1%,±0.1,"24,011","±4,097",0.3%,±0.1,"4,588","±1,429",0.2%,±0.1,"679,781","±24,534",1.7%,±0.1,"23,860","±3,304",0.4%,±0.1,"7,408","±2,680",0.2%,±0.1,"2,315","±1,209",0.2%,±0.1,"2,609","±1,281",0.4%,±0.2,"91,040","±10,907",0.4%,±0.1,"71,583","±8,009",0.7%,±0.1,"9,650","±2,812",0.7%,±0.2,"1,926","±1,133",0.1%,±0.1,"29,296","±5,888",0.2%,±0.1,"10,747","±2,826",0.2%,±0.1,"10,978","±2,719",0.3%,±0.1,"12,951","±2,418",0.4%,±0.1,"4,882","±2,080",0.1%,±0.1,"33,698","±5,775",0.7%,±0.1,"1,828","±1,074",0.1%,±0.1,"29,937","±5,197",0.5%,±0.1,"48,205","±6,685",0.7%,±0.1,"16,089","±3,611",0.2%,±0.1,"27,984","±4,732",0.5%,±0.1,"10,594","±4,158",0.4%,±0.1,"16,718","±3,048",0.3%,±0.1,181,±154,0.0%,±0.1,"11,460","±3,333",0.6%,±0.2,"12,115","±3,337",0.4%,±0.1,"1,969","±1,347",0.1%,±0.1,"21,769","±3,969",0.2%,±0.1,"7,335","±2,854",0.3%,±0.1,"29,460","±4,660",0.2%,±0.1,"32,728","±5,462",0.3%,±0.1,797,±751,0.1%,±0.1,"16,537","±3,810",0.1%,±0.1,"25,455","±4,050",0.6%,±0.1,"33,112","±5,921",0.8%,±0.1,"35,459","±5,442",0.3%,±0.1,"1,272",±957,0.1%,±0.1,"10,539","±3,346",0.2%,±0.1,"1,883","±1,635",0.2%,±0.2,"12,194","±2,653",0.2%,±0.1,"273,257","±16,714",0.9%,±0.1,"8,235","±2,306",0.3%,±0.1,281,±367,0.0%,±0.1,"68,474","±6,701",0.8%,±0.1,"80,453","±10,073",1.1%,±0.1,905,±618,0.1%,±0.1,"6,660","±1,691",0.1%,±0.1,N,N,N,N,N,N,N,N
Other Asian,"8,171","±2,491",0.2%,±0.1,"6,676","±2,369",0.9%,±0.3,"31,048","±6,300",0.4%,±0.1,"12,423","±2,877",0.4%,±0.1,"693,120","±21,809",1.8%,±0.1,"39,445","±5,285",0.7%,±0.1,"25,055","±4,897",0.7%,±0.1,"3,562","±2,062",0.4%,±0.2,"2,599",±725,0.4%,±0.1,"80,357","±9,123",0.4%,±0.1,"65,790","±7,808",0.6%,±0.1,"63,389","±5,165",4.5%,±0.4,"6,918","±2,411",0.4%,±0.1,"98,281","±9,813",0.8%,±0.1,"39,245","±5,396",0.6%,±0.1,"22,183","±3,986",0.7%,±0.1,"27,411","±4,280",0.9%,±0.1,"16,066","±2,869",0.4%,±0.1,"9,977","±2,264",0.2%,±0.1,"4,268","±1,445",0.3%,±0.1,"67,162","±7,672",1.1%,±0.1,"68,180","±6,611",1.0%,±0.1,"77,696","±6,963",0.8%,±0.1,"147,690","±7,685",2.6%,±0.1,"1,875",±956,0.1%,±0.1,"15,623","±3,164",0.3%,±0.1,"1,631",±771,0.2%,±0.1,"13,852","±2,862",0.7%,±0.1,"26,782","±4,234",0.9%,±0.1,"7,103","±1,910",0.5%,±0.1,"80,430","±8,187",0.9%,±0.1,"4,041","±1,294",0.2%,±0.1,"290,543","±15,458",1.5%,±0.1,"61,563","±7,395",0.6%,±0.1,"3,615","±1,660",0.5%,±0.2,"53,021","±7,559",0.5%,±0.1,"23,314","±3,022",0.6%,±0.1,"34,186","±5,763",0.8%,±0.1,"82,288","±8,237",0.6%,±0.1,"14,698","±2,787",1.4%,±0.3,"15,229","±3,199",0.3%,±0.1,"3,729","±1,332",0.4%,±0.2,"32,005","±5,143",0.5%,±0.1,"225,877","±15,805",0.8%,±0.1,"17,389","±4,202",0.5%,±0.1,"2,048","±1,594",0.3%,±0.3,"112,611","±9,583",1.3%,±0.1,"95,479","±10,103",1.3%,±0.1,"2,400","±1,099",0.1%,±0.1,"78,529","±6,155",1.3%,±0.1,N,N,N,N,N,N,N,N
Native Hawaiian and Other Pacific Islander,"1,892",±716,0.0%,±0.1,"9,923",±834,1.4%,±0.1,"14,168","±1,611",0.2%,±0.1,"12,829","±1,801",0.4%,±0.1,"155,871","±5,626",0.4%,±0.1,"7,756","±2,016",0.1%,±0.1,"1,155","±1,082",0.0%,±0.1,428,±499,0.0%,±0.1,190,±216,0.0%,±0.1,"16,162","±3,369",0.1%,±0.1,"6,947","±2,674",0.1%,±0.1,"152,601","±5,303",10.8%,±0.4,"2,475","±1,160",0.1%,±0.1,"4,511","±1,374",0.0%,±0.1,"3,254","±1,946",0.0%,±0.1,"2,029",±893,0.1%,±0.1,"2,453","±1,399",0.1%,±0.1,"4,212","±1,780",0.1%,±0.1,971,±601,0.0%,±0.1,222,±183,0.0%,±0.1,"2,453","±1,009",0.0%,±0.1,"2,998",±737,0.0%,±0.1,"2,078",±694,0.0%,±0.1,"2,753",±901,0.0%,±0.1,175,±259,0.0%,±0.1,"10,214","±2,839",0.2%,±0.1,224,±253,0.0%,±0.1,"1,850",±866,0.1%,±0.1,"22,587","±2,559",0.7%,±0.1,713,±526,0.1%,±0.1,"3,254","±1,475",0.0%,±0.1,924,±544,0.0%,±0.1,"8,277","±2,421",0.0%,±0.1,"6,878","±2,124",0.1%,±0.1,"2,792","±1,647",0.4%,±0.2,"5,274","±2,003",0.0%,±0.1,"4,808","±1,381",0.1%,±0.1,"14,182","±2,342",0.3%,±0.1,"4,148","±1,007",0.0%,±0.1,250,±212,0.0%,±0.1,"7,572","±5,449",0.1%,±0.1,"2,073","±1,557",0.2%,±0.2,"3,469","±1,316",0.1%,±0.1,"27,026","±4,145",0.1%,±0.1,"30,725","±2,972",1.0%,±0.1,386,±381,0.1%,±0.1,"5,039","±1,116",0.1%,±0.1,"50,139","±3,973",0.7%,±0.1,399,±417,0.0%,±0.1,"4,220","±1,636",0.1%,±0.1,754,±498,0.1%,±0.1,183,±211,0.0%,±0.1
Native Hawaiian,"1,241",±618,0.0%,±0.1,N,N,N,N,"3,464","±1,081",0.0%,±0.1,N,N,N,N,"25,912","±3,629",0.1%,±0.1,"3,200","±1,095",0.1%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,"3,912","±1,360",0.0%,±0.1,"2,293","±1,487",0.0%,±0.1,"90,070","±8,268",6.4%,±0.6,921,±721,0.1%,±0.1,"2,312","±1,073",0.0%,±0.1,743,±537,0.0%,±0.1,N,N,N,N,503,±498,0.0%,±0.1,"1,327",±810,0.0%,±0.1,N,N,N,N,N,N,N,N,962,±716,0.0%,±0.1,"1,076",±511,0.0%,±0.1,507,±352,0.0%,±0.1,"1,227",±726,0.0%,±0.1,N,N,N,N,"2,295","±1,214",0.0%,±0.1,N,N,N,N,779,±578,0.0%,±0.1,"9,428","±2,754",0.3%,±0.1,N,N,N,N,568,±475,0.0%,±0.1,N,N,N,N,"3,152","±1,758",0.0%,±0.1,"3,684","±1,878",0.0%,±0.1,N,N,N,N,"1,656",±868,0.0%,±0.1,"1,180",±467,0.0%,±0.1,"2,715",±866,0.1%,±0.1,"1,480",±707,0.0%,±0.1,N,N,N,N,898,±854,0.0%,±0.1,N,N,N,N,"1,740","±1,078",0.0%,±0.1,"7,682","±3,235",0.0%,±0.1,"1,383",±686,0.0%,±0.1,N,N,N,N,"1,540",±654,0.0%,±0.1,"7,928","±2,204",0.1%,±0.1,N,N,N,N,"1,191",±766,0.0%,±0.1,N,N,N,N,N,N,N,N
Guamanian or Chamorro,226,±244,0.0%,±0.1,N,N,N,N,"2,713","±1,728",0.0%,±0.1,N,N,N,N,"24,757","±4,191",0.1%,±0.1,910,±451,0.0%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,"2,529",±898,0.0%,±0.1,"1,668","±1,173",0.0%,±0.1,"1,847","±1,171",0.1%,±0.1,278,±336,0.0%,±0.1,459,±271,0.0%,±0.1,409,±355,0.0%,±0.1,N,N,N,N,411,±314,0.0%,±0.1,"1,007",±768,0.0%,±0.1,N,N,N,N,N,N,N,N,602,±313,0.0%,±0.1,505,±312,0.0%,±0.1,159,±187,0.0%,±0.1,89,±71,0.0%,±0.1,N,N,N,N,"1,047",±654,0.0%,±0.1,N,N,N,N,191,±142,0.0%,±0.1,"5,606","±2,817",0.2%,±0.1,N,N,N,N,548,±491,0.0%,±0.1,N,N,N,N,797,±470,0.0%,±0.1,"1,195",±616,0.0%,±0.1,N,N,N,N,416,±388,0.0%,±0.1,972,±630,0.0%,±0.1,"1,884",±946,0.0%,±0.1,833,±504,0.0%,±0.1,N,N,N,N,913,±756,0.0%,±0.1,N,N,N,N,347,±247,0.0%,±0.1,"6,416","±1,611",0.0%,±0.1,823,±525,0.0%,±0.1,N,N,N,N,"1,576",±884,0.0%,±0.1,"13,686","±3,158",0.2%,±0.1,N,N,N,N,533,±340,0.0%,±0.1,N,N,N,N,N,N,N,N
Samoan,0,±206,0.0%,±0.1,N,N,N,N,"3,252","±1,929",0.0%,±0.1,N,N,N,N,"36,443","±5,694",0.1%,±0.1,"2,107","±1,218",0.0%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,653,±409,0.0%,±0.1,726,±732,0.0%,±0.1,"15,174","±4,015",1.1%,±0.3,206,±313,0.0%,±0.1,465,±318,0.0%,±0.1,420,±281,0.0%,±0.1,N,N,N,N,778,±615,0.0%,±0.1,149,±186,0.0%,±0.1,N,N,N,N,N,N,N,N,669,±607,0.0%,±0.1,525,±352,0.0%,±0.1,182,±206,0.0%,±0.1,249,±247,0.0%,±0.1,N,N,N,N,"4,617","±2,307",0.1%,±0.1,N,N,N,N,224,±247,0.0%,±0.1,"4,102","±2,034",0.1%,±0.1,N,N,N,N,805,±587,0.0%,±0.1,N,N,N,N,458,±325,0.0%,±0.1,893,±710,0.0%,±0.1,N,N,N,N,"1,016",±999,0.0%,±0.1,287,±242,0.0%,±0.1,"1,999",±942,0.0%,±0.1,415,±344,0.0%,±0.1,N,N,N,N,50,±84,0.0%,±0.1,N,N,N,N,673,±670,0.0%,±0.1,"3,569","±1,157",0.0%,±0.1,"11,399","±2,882",0.4%,±0.1,N,N,N,N,"1,175",±668,0.0%,±0.1,"11,327","±3,235",0.1%,±0.1,N,N,N,N,510,±391,0.0%,±0.1,N,N,N,N,N,N,N,N
Other Pacific Islander,425,±386,0.0%,±0.1,N,N,N,N,"4,739","±2,053",0.1%,±0.1,N,N,N,N,"68,759","±6,194",0.2%,±0.1,"1,539","±1,050",0.0%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,"9,068","±3,166",0.0%,±0.1,"2,260","±1,640",0.0%,±0.1,"45,510","±6,699",3.2%,±0.5,"1,070",±752,0.1%,±0.1,"1,275",±602,0.0%,±0.1,"1,682","±1,807",0.0%,±0.1,N,N,N,N,761,±515,0.0%,±0.1,"1,729","±1,149",0.0%,±0.1,N,N,N,N,N,N,N,N,220,±224,0.0%,±0.1,892,±706,0.0%,±0.1,"1,230",±485,0.0%,±0.1,"1,188",±779,0.0%,±0.1,N,N,N,N,"2,255",±628,0.0%,±0.1,N,N,N,N,656,±565,0.0%,±0.1,"3,451","±1,033",0.1%,±0.1,N,N,N,N,"1,333","±1,119",0.0%,±0.1,N,N,N,N,"3,870","±1,809",0.0%,±0.1,"1,106",±601,0.0%,±0.1,N,N,N,N,"2,186","±1,272",0.0%,±0.1,"2,369","±1,331",0.1%,±0.1,"7,584","±2,098",0.2%,±0.1,"1,420",±708,0.0%,±0.1,N,N,N,N,"5,711","±5,268",0.1%,±0.1,N,N,N,N,709,±334,0.0%,±0.1,"9,359","±2,278",0.0%,±0.1,"17,120","±3,484",0.5%,±0.1,N,N,N,N,748,±356,0.0%,±0.1,"17,198","±3,814",0.2%,±0.1,N,N,N,N,"1,986","±1,446",0.0%,±0.1,N,N,N,N,N,N,N,N
Some other race,"74,451","±7,104",1.5%,±0.1,"12,602","±3,697",1.7%,±0.5,"364,442","±20,245",5.0%,±0.3,"75,590","±8,418",2.5%,±0.3,"5,424,558","±70,153",13.7%,±0.2,"209,081","±14,420",3.6%,±0.3,"200,646","±13,943",5.6%,±0.4,"23,087","±5,203",2.4%,±0.5,"30,868","±5,212",4.4%,±0.7,"719,525","±25,981",3.4%,±0.1,"321,656","±18,188",3.0%,±0.2,"24,697","±4,770",1.7%,±0.3,"67,428","±7,314",3.8%,±0.4,"730,514","±26,606",5.8%,±0.2,"150,696","±12,587",2.2%,±0.2,"31,951","±4,884",1.0%,±0.2,"87,073","±7,195",3.0%,±0.2,"41,032","±5,314",0.9%,±0.1,"65,888","±7,811",1.4%,±0.2,"5,442","±1,374",0.4%,±0.1,"305,343","±13,698",5.1%,±0.2,"299,262","±18,468",4.3%,±0.3,"114,190","±10,326",1.1%,±0.1,"109,373","±9,416",1.9%,±0.2,"28,944","±4,232",1.0%,±0.1,"76,294","±8,075",1.2%,±0.1,"7,297","±1,714",0.7%,±0.2,"51,049","±5,631",2.6%,±0.3,"324,476","±17,016",10.5%,±0.6,"10,683","±3,559",0.8%,±0.3,"571,368","±21,222",6.4%,±0.2,"189,281","±15,165",9.0%,±0.7,"1,664,223","±33,219",8.6%,±0.2,"351,465","±16,572",3.4%,±0.2,"6,320","±2,122",0.8%,±0.3,"122,375","±10,175",1.0%,±0.1,"91,920","±7,110",2.3%,±0.2,"149,974","±14,981",3.6%,±0.4,"335,838","±17,763",2.6%,±0.1,"62,236","±8,445",5.9%,±0.8,"112,685","±10,505",2.2%,±0.2,"5,919","±1,275",0.7%,±0.1,"109,072","±10,567",1.6%,±0.2,"1,714,614","±45,756",5.9%,±0.2,"123,376","±10,628",3.8%,±0.3,"2,153",±818,0.3%,±0.1,"246,663","±13,682",2.9%,±0.2,"365,395","±16,236",4.8%,±0.2,"7,657","±1,944",0.4%,±0.1,"121,082","±9,594",2.1%,±0.2,"10,799","±2,278",1.9%,±0.4,"506,563","±15,573",15.9%,±0.5
Two or more races,"91,522","±6,916",1.9%,±0.1,"57,476","±5,446",7.9%,±0.7,"280,574","±12,629",3.9%,±0.2,"83,603","±7,131",2.8%,±0.2,"1,978,145","±33,931",5.0%,±0.1,"232,943","±10,805",4.0%,±0.2,"131,068","±8,941",3.7%,±0.3,"30,167","±4,218",3.1%,±0.4,"23,321","±3,488",3.3%,±0.5,"631,552","±24,376",2.9%,±0.1,"284,421","±14,589",2.7%,±0.1,"316,468","±11,280",22.4%,±0.8,"58,700","±4,924",3.3%,±0.3,"351,933","±15,282",2.8%,±0.1,"174,283","±10,311",2.6%,±0.2,"68,248","±5,650",2.2%,±0.2,"108,771","±6,310",3.7%,±0.2,"104,158","±6,961",2.3%,±0.2,"93,067","±7,819",2.0%,±0.2,"28,536","±3,365",2.1%,±0.3,"205,558","±11,032",3.4%,±0.2,"250,459","±13,147",3.6%,±0.2,"302,340","±11,635",3.0%,±0.1,"186,583","±10,756",3.3%,±0.2,"43,664","±6,308",1.5%,±0.2,"172,253","±8,461",2.8%,±0.1,"36,517","±3,637",3.4%,±0.3,"53,383","±5,206",2.8%,±0.3,"144,208","±8,665",4.7%,±0.3,"30,205","±3,411",2.2%,±0.3,"264,429","±14,190",3.0%,±0.2,"72,444","±6,802",3.5%,±0.3,"649,298","±19,354",3.3%,±0.1,"295,137","±17,994",2.8%,±0.2,"25,145","±3,813",3.3%,±0.5,"343,341","±13,932",2.9%,±0.1,"300,165","±9,446",7.6%,±0.2,"207,325","±11,022",4.9%,±0.3,"332,708","±14,431",2.6%,±0.1,"44,600","±5,770",4.2%,±0.5,"125,531","±9,493",2.4%,±0.2,"24,698","±3,560",2.8%,±0.4,"156,246","±8,001",2.3%,±0.1,"835,927","±28,006",2.9%,±0.1,"103,574","±8,741",3.2%,±0.3,"15,367","±2,758",2.5%,±0.4,"320,232","±13,942",3.8%,±0.2,"453,495","±14,500",6.0%,±0.2,"32,250","±2,917",1.8%,±0.2,"137,034","±7,824",2.4%,±0.1,"15,823","±3,004",2.7%,±0.5,"227,090","±12,317",7.1%,±0.4
White and Black or African American,"34,445","±4,886",0.7%,±0.1,"7,397","±1,903",1.0%,±0.3,"61,967","±6,802",0.9%,±0.1,"26,888","±4,270",0.9%,±0.1,"283,466","±12,916",0.7%,±0.1,"46,426","±6,019",0.8%,±0.1,"50,094","±6,549",1.4%,±0.2,"14,479","±3,307",1.5%,±0.3,"7,476","±2,478",1.1%,±0.4,"233,440","±14,147",1.1%,±0.1,"114,824","±9,720",1.1%,±0.1,"7,642","±1,754",0.5%,±0.1,"6,701","±1,747",0.4%,±0.1,"116,523","±8,896",0.9%,±0.1,"80,948","±7,448",1.2%,±0.1,"29,904","±3,874",0.9%,±0.1,"35,881","±4,273",1.2%,±0.1,"52,195","±5,625",1.2%,±0.1,"31,724","±4,692",0.7%,±0.1,"6,660","±1,401",0.5%,±0.1,"75,321","±6,265",1.2%,±0.1,"111,245","±9,745",1.6%,±0.1,"121,042","±8,544",1.2%,±0.1,"63,104","±5,810",1.1%,±0.1,"20,886","±4,805",0.7%,±0.2,"72,474","±6,633",1.2%,±0.1,"3,649","±1,286",0.3%,±0.1,"17,833","±3,111",0.9%,±0.2,"32,725","±4,688",1.1%,±0.2,"7,154","±1,618",0.5%,±0.1,"88,907","±9,324",1.0%,±0.1,"14,911","±4,095",0.7%,±0.2,"206,607","±11,085",1.1%,±0.1,"110,955","±10,137",1.1%,±0.1,"6,614","±2,258",0.9%,±0.3,"173,377","±10,247",1.5%,±0.1,"42,163","±4,612",1.1%,±0.1,"35,623","±5,221",0.8%,±0.1,"146,125","±9,513",1.1%,±0.1,"13,825","±3,825",1.3%,±0.4,"58,428","±6,828",1.1%,±0.1,"3,896","±1,599",0.4%,±0.2,"67,718","±6,352",1.0%,±0.1,"248,201","±16,405",0.9%,±0.1,"15,140","±2,548",0.5%,±0.1,"2,609",±828,0.4%,±0.1,"113,091","±9,385",1.3%,±0.1,"81,690","±6,132",1.1%,±0.1,"16,776","±2,705",0.9%,±0.2,"51,215","±5,774",0.9%,±0.1,"3,802","±1,237",0.7%,±0.2,"200,316","±11,023",6.3%,±0.3
White and American Indian and Alaska Native,"24,552","±3,204",0.5%,±0.1,"24,557","±3,582",3.4%,±0.5,"56,836","±6,180",0.8%,±0.1,"31,720","±3,213",1.1%,±0.1,"289,679","±14,039",0.7%,±0.1,"56,170","±6,242",1.0%,±0.1,"11,397","±1,870",0.3%,±0.1,"2,456",±908,0.3%,±0.1,692,±378,0.1%,±0.1,"77,098","±7,128",0.4%,±0.1,"26,216","±4,118",0.2%,±0.1,"6,647","±1,023",0.5%,±0.1,"16,505","±2,578",0.9%,±0.1,"37,684","±3,787",0.3%,±0.1,"25,747","±3,018",0.4%,±0.1,"8,747","±1,920",0.3%,±0.1,"33,107","±2,581",1.1%,±0.1,"15,147","±2,106",0.3%,±0.1,"20,778","±3,329",0.4%,±0.1,"9,049","±1,534",0.7%,±0.1,"13,663","±2,214",0.2%,±0.1,"17,468","±2,676",0.3%,±0.1,"63,669","±3,305",0.6%,±0.1,"42,625","±3,311",0.8%,±0.1,"7,269","±2,569",0.2%,±0.1,"39,846","±3,555",0.6%,±0.1,"18,656","±2,968",1.7%,±0.3,"10,973","±2,022",0.6%,±0.1,"16,746","±2,435",0.5%,±0.1,"8,534","±1,656",0.6%,±0.1,"14,459","±2,508",0.2%,±0.1,"16,716","±3,315",0.8%,±0.2,"49,579","±4,825",0.3%,±0.1,"39,506","±3,278",0.4%,±0.1,"10,230","±2,157",1.3%,±0.3,"41,185","±3,851",0.4%,±0.1,"187,502","±6,159",4.7%,±0.2,"67,640","±6,171",1.6%,±0.1,"31,156","±2,722",0.2%,±0.1,"4,655","±1,358",0.4%,±0.1,"15,969","±1,849",0.3%,±0.1,"14,904","±2,459",1.7%,±0.3,"24,940","±2,546",0.4%,±0.1,"135,993","±8,833",0.5%,±0.1,"15,377","±3,059",0.5%,±0.1,"5,185","±1,018",0.8%,±0.2,"27,100","±3,104",0.3%,±0.1,"92,029","±6,155",1.2%,±0.1,"5,123","±1,474",0.3%,±0.1,"28,141","±3,048",0.5%,±0.1,"4,288","±1,150",0.7%,±0.2,792,±441,0.0%,±0.1
