county,SEX AND AGE,total population,male,female,SEX AND AGE!!Total population!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!Under 5 years,SEX AND AGE!!Total population!!5 to 9 years,SEX AND AGE!!Total population!!10 to 14 years,SEX AND AGE!!Total population!!15 to 19 years,SEX AND AGE!!Total population!!20 to 24 years,SEX AND AGE!!Total population!!25 to 34 years,SEX AND AGE!!Total population!!35 to 44 years,SEX AND AGE!!Total population!!45 to 54 years,SEX AND AGE!!Total population!!55 to 59 years,SEX AND AGE!!Total population!!60 to 64 years,SEX AND AGE!!Total population!!65 to 74 years,SEX AND AGE!!Total population!!75 to 84 years,SEX AND AGE!!Total population!!85 years and over,SEX AND AGE!!Total population!!Median age (years),SEX AND AGE!!Total population!!Under 18 years,SEX AND AGE!!Total population!!16 years and over,SEX AND AGE!!Total population!!18 years and over,SEX AND AGE!!Total population!!21 years and over,SEX AND AGE!!Total population!!62 years and over,SEX AND AGE!!Total population!!65 years and over,SEX AND AGE!!Total population!!18 years and over.1,SEX AND AGE!!Total population!!18 years and over!!Male,SEX AND AGE!!Total population!!18 years and over!!Female,SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!65 years and over.1,SEX AND AGE!!Total population!!65 years and over!!Male,SEX AND AGE!!Total population!!65 years and over!!Female,SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),RACE,race,RACE!!Total population!!One race,RACE!!Total population!!Two or more races,RACE!!Total population!!One race.1,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Asian!!Asian Indian,RACE!!Total population!!One race!!Asian!!Chinese,RACE!!Total population!!One race!!Asian!!Filipino,RACE!!Total population!!One race!!Asian!!Japanese,RACE!!Total population!!One race!!Asian!!Korean,RACE!!Total population!!One race!!Asian!!Vietnamese,RACE!!Total population!!One race!!Asian!!Other Asian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!Two or more races.1,RACE!!Total population!!Two or more races!!White and Black or African American,RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and Asian,RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Race alone or in combination with one or more other races,Race alone or in combination with one or more other races!!Total population,white,black or African American,American Indian and Alaska Native,Asian,Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Race alone or in combination with one or more other races!!Total population!!Some other race,HISPANIC OR LATINO AND RACE,HISPANIC OR LATINO AND RACE!!Total population,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",Total housing units,"CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Comanche County, Texas",,"13,529",50.2%,49.8%,101.0,5.7%,5.7%,6.8%,7.3%,3.7%,9.7%,11.3%,11.9%,6.5%,7.3%,13.1%,9.2%,1.7%,44.8,22.3%,80.0%,77.7%,74.0%,28.3%,24.0%,"10,510",49.7%,50.3%,98.6,"3,247",46.7%,53.3%,87.7,,"13,529",98.9%,1.1%,98.9%,93.8%,1.3%,0.7%,0.1%,0.0%,0.0%,0.0%,0.6%,0.1%,0.0%,0.2%,0.0%,0.1%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,2.5%,1.1%,0.2%,0.4%,0.0%,0.0%,,"13,529",94.7%,1.7%,1.3%,0.7%,0.0%,2.9%,,"13,529",27.9%,24.6%,0.0%,0.1%,3.3%,72.1%,69.5%,0.6%,0.7%,0.6%,0.0%,0.0%,0.7%,0.0%,0.7%,"7,384",,"9,848",49.4%,50.6%
"Cooke County, Texas",,"40,041",49.6%,50.4%,98.5,6.8%,6.3%,6.4%,6.7%,6.2%,11.9%,10.9%,12.2%,6.9%,7.4%,10.7%,5.7%,1.8%,40.7,23.9%,78.9%,76.1%,72.5%,22.5%,18.2%,"30,491",48.8%,51.2%,95.2,"7,269",46.0%,54.0%,85.1,,"40,041",97.2%,2.8%,97.2%,91.7%,2.8%,0.8%,0.2%,0.1%,0.0%,0.0%,0.9%,0.1%,0.1%,0.2%,0.0%,0.1%,0.2%,0.1%,0.1%,0.0%,0.1%,0.0%,0.0%,0.9%,2.8%,1.1%,1.1%,0.2%,0.1%,,"40,041",94.4%,4.3%,2.0%,1.4%,0.1%,1.0%,,"40,041",18.2%,16.5%,0.4%,0.0%,1.3%,81.8%,75.3%,2.8%,0.7%,0.9%,0.1%,0.1%,2.0%,0.0%,2.0%,"16,928",,"28,210",49.1%,50.9%
"Coryell County, Texas",,"75,280",49.9%,50.1%,99.6,7.0%,6.4%,6.5%,5.9%,10.8%,19.4%,14.4%,11.2%,4.7%,3.9%,5.9%,2.8%,1.2%,31.8,23.2%,79.1%,76.8%,71.7%,12.0%,9.8%,"57,851",49.7%,50.3%,98.7,"7,404",43.2%,56.8%,76.0,,"75,280",91.1%,8.9%,91.1%,72.8%,13.6%,0.8%,0.1%,0.0%,0.1%,0.2%,2.1%,0.1%,0.1%,0.5%,0.2%,0.6%,0.1%,0.5%,0.8%,0.0%,0.1%,0.4%,0.3%,1.1%,8.9%,2.4%,3.7%,0.9%,0.5%,,"75,280",80.7%,17.3%,5.6%,3.4%,1.2%,1.4%,,"75,280",18.3%,11.7%,3.0%,0.2%,3.4%,81.7%,58.7%,12.8%,0.6%,2.0%,0.7%,0.0%,6.9%,0.1%,6.8%,"26,689",,"55,690",49.8%,50.2%
"Crosby County, Texas",,"5,836",49.7%,50.3%,98.7,6.7%,6.5%,9.2%,8.2%,5.3%,10.7%,13.0%,9.5%,6.4%,6.3%,9.4%,7.1%,1.6%,38.4,26.9%,75.9%,73.1%,67.6%,22.2%,18.2%,"4,268",48.6%,51.4%,94.7,"1,060",45.4%,54.6%,83.1,,"5,836",98.5%,1.5%,98.5%,88.2%,3.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.6%,0.0%,0.0%,0.3%,0.0%,0.0%,0.2%,0.0%,0.2%,0.0%,0.0%,0.2%,0.0%,5.9%,1.5%,0.4%,0.1%,0.0%,0.0%,,"5,836",89.3%,4.6%,0.1%,0.7%,0.2%,6.8%,,"5,836",56.0%,50.8%,0.4%,0.0%,4.8%,44.0%,39.4%,3.1%,0.0%,0.6%,0.2%,0.1%,0.6%,0.0%,0.6%,"2,914",,"4,151",48.6%,51.4%
"Dallam County, Texas",,"7,304",50.9%,49.1%,103.7,9.5%,9.1%,9.2%,6.7%,3.8%,16.6%,8.8%,14.7%,6.5%,4.4%,6.0%,3.7%,1.1%,31.7,31.5%,71.6%,68.5%,65.1%,14.1%,10.7%,"5,002",51.6%,48.4%,106.5,784,49.4%,50.6%,97.5,,"7,304",97.8%,2.2%,97.8%,89.7%,0.8%,1.2%,0.5%,0.0%,0.0%,0.0%,1.9%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,4.3%,2.2%,0.1%,0.1%,0.0%,0.0%,,"7,304",91.3%,1.0%,1.3%,2.4%,0.5%,5.7%,,"7,304",45.8%,42.3%,0.6%,0.0%,2.9%,54.2%,49.6%,0.8%,1.2%,1.9%,0.0%,0.0%,0.7%,0.0%,0.7%,"2,955",,"3,931",50.2%,49.8%
"Dallas County, Texas",,"2,606,868",49.3%,50.7%,97.3,7.5%,7.4%,7.3%,6.8%,7.0%,16.4%,13.8%,12.6%,5.8%,5.0%,6.4%,2.9%,1.2%,33.4,26.4%,76.4%,73.6%,69.8%,13.3%,10.5%,"1,919,530",48.7%,51.3%,95.0,"272,730",42.9%,57.1%,75.3,,"2,606,868",97.4%,2.6%,97.4%,61.3%,22.6%,0.4%,0.1%,0.0%,0.0%,0.0%,6.3%,2.4%,0.7%,0.5%,0.1%,0.3%,1.2%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,6.8%,2.6%,0.7%,0.4%,0.4%,0.2%,,"2,606,868",63.4%,23.8%,1.1%,7.0%,0.2%,7.4%,,"2,606,868",40.2%,33.3%,0.5%,0.3%,6.1%,59.8%,29.1%,22.3%,0.2%,6.2%,0.0%,0.2%,1.8%,0.1%,1.6%,"1,013,364",,"1,506,744",47.7%,52.3%
"Dawson County, Texas",,"12,813",54.2%,45.8%,118.1,7.1%,6.3%,8.5%,6.2%,8.9%,15.5%,11.9%,10.2%,5.8%,4.9%,7.8%,4.4%,2.5%,33.5,26.0%,77.6%,74.0%,70.3%,17.2%,14.7%,"9,483",55.7%,44.3%,125.5,"1,878",43.5%,56.5%,77.0,,"12,813",95.9%,4.1%,95.9%,75.2%,8.1%,1.1%,0.3%,0.0%,0.0%,0.0%,0.2%,0.0%,0.1%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.3%,4.1%,0.4%,0.4%,0.0%,0.2%,,"12,813",78.5%,8.9%,2.5%,0.2%,0.0%,14.4%,,"12,813",57.5%,49.6%,0.7%,0.4%,6.7%,42.5%,33.3%,7.7%,0.4%,0.2%,0.0%,0.0%,1.0%,0.1%,0.9%,"5,187",,"9,121",55.6%,44.4%
"Deaf Smith County, Texas",,"18,736",50.1%,49.9%,100.4,8.8%,8.5%,8.9%,8.2%,6.9%,13.1%,11.9%,10.7%,5.5%,5.0%,7.0%,3.7%,1.8%,31.9,31.3%,71.7%,68.7%,64.2%,15.7%,12.5%,"12,870",49.4%,50.6%,97.8,"2,336",45.5%,54.5%,83.6,,"18,736",96.3%,3.7%,96.3%,89.7%,1.0%,0.7%,0.0%,0.0%,0.0%,0.0%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.3%,0.3%,0.1%,0.0%,0.1%,0.0%,0.0%,4.3%,3.7%,0.9%,1.8%,0.0%,0.3%,,"18,736",92.9%,2.3%,2.9%,0.8%,0.3%,4.7%,,"18,736",72.8%,69.0%,1.0%,0.0%,2.9%,27.2%,24.7%,0.6%,0.4%,0.6%,0.1%,0.1%,0.6%,0.0%,0.6%,"7,069",,"10,555",48.3%,51.7%
"Delta County, Texas",,"5,249",47.4%,52.6%,90.1,5.7%,7.2%,6.3%,7.6%,4.6%,9.4%,10.3%,12.3%,8.4%,8.2%,11.8%,5.8%,2.4%,44.3,23.3%,79.2%,76.7%,72.9%,24.0%,20.1%,"4,027",48.6%,51.4%,94.6,"1,056",46.5%,53.5%,86.9,,"5,249",98.0%,2.0%,98.0%,87.5%,8.8%,0.1%,0.0%,0.0%,0.0%,0.0%,0.5%,0.0%,0.0%,0.4%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,1.1%,2.0%,0.2%,0.7%,0.8%,0.0%,,"5,249",89.5%,9.3%,1.0%,1.3%,0.0%,1.1%,,"5,249",7.8%,6.6%,0.0%,0.0%,1.2%,92.2%,80.8%,8.8%,0.1%,0.5%,0.0%,0.1%,2.0%,0.0%,2.0%,"2,488",,"4,015",48.6%,51.4%
"Denton County, Texas",,"833,822",49.2%,50.8%,96.8,6.4%,7.0%,7.3%,7.1%,6.6%,14.9%,15.4%,14.5%,6.3%,4.7%,6.4%,2.6%,0.9%,35.5,25.1%,77.9%,74.9%,70.7%,12.6%,9.9%,"624,909",48.6%,51.4%,94.4,"82,137",44.6%,55.4%,80.4,,"833,822",96.4%,3.6%,96.4%,74.3%,9.8%,0.5%,0.1%,0.0%,0.0%,0.0%,8.7%,3.9%,0.9%,0.4%,0.1%,1.1%,0.8%,1.5%,0.1%,0.0%,0.0%,0.0%,0.0%,3.0%,3.6%,0.9%,0.6%,0.9%,0.1%,,"833,822",77.4%,11.2%,1.3%,10.0%,0.2%,3.8%,,"833,822",19.3%,14.7%,0.8%,0.2%,3.6%,80.7%,59.2%,9.6%,0.4%,8.7%,0.1%,0.1%,2.6%,0.1%,2.5%,"308,586",,"561,166",48.3%,51.7%
"DeWitt County, Texas",,"20,340",52.0%,48.0%,108.3,6.5%,6.1%,6.1%,6.2%,4.4%,11.7%,13.4%,12.4%,7.0%,6.8%,10.5%,6.4%,2.5%,41.0,22.6%,79.5%,77.4%,74.5%,23.4%,19.4%,"15,733",52.7%,47.3%,111.3,"3,943",43.3%,56.7%,76.5,,"20,340",98.8%,1.2%,98.8%,64.7%,9.3%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,23.5%,1.2%,0.4%,0.1%,0.0%,0.0%,,"20,340",65.6%,9.8%,1.6%,0.3%,0.0%,24.0%,,"20,340",35.4%,33.4%,0.4%,0.1%,1.5%,64.6%,54.8%,9.3%,0.0%,0.0%,0.0%,0.0%,0.5%,0.1%,0.4%,"9,252",,"15,166",52.8%,47.2%
"Dimmit County, Texas",,"10,438",48.5%,51.5%,94.1,7.2%,8.5%,9.4%,7.9%,5.1%,12.3%,13.6%,9.2%,4.9%,5.0%,9.8%,5.0%,2.1%,34.3,29.4%,74.7%,70.6%,66.4%,20.2%,16.9%,"7,369",47.7%,52.3%,91.3,"1,763",45.1%,54.9%,82.1,,"10,438",99.4%,0.6%,99.4%,89.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.4%,0.0%,0.0%,1.3%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,8.2%,0.6%,0.6%,0.0%,0.0%,0.0%,,"10,438",90.3%,0.6%,0.0%,1.4%,0.0%,8.3%,,"10,438",86.9%,82.7%,0.0%,0.0%,4.1%,13.1%,11.0%,0.0%,0.0%,1.4%,0.0%,0.1%,0.6%,0.0%,0.6%,"4,418",,"6,995",48.0%,52.0%
"Duval County, Texas",,"11,268",50.7%,49.3%,103.0,7.1%,5.6%,9.4%,6.2%,8.8%,11.6%,11.5%,11.0%,7.7%,3.6%,9.7%,5.8%,2.1%,36.1,25.7%,76.6%,74.3%,69.9%,19.8%,17.6%,"8,368",51.6%,48.4%,106.5,"1,978",46.0%,54.0%,85.2,,"11,268",99.9%,0.1%,99.9%,95.0%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.6%,0.1%,0.0%,0.0%,0.0%,0.0%,,"11,268",95.1%,1.3%,0.0%,0.0%,0.0%,3.7%,,"11,268",89.3%,86.3%,0.0%,0.0%,3.1%,10.7%,9.3%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"5,581",,"8,072",52.1%,47.9%
"Eastland County, Texas",,"18,273",50.1%,49.9%,100.3,6.0%,5.9%,5.4%,8.0%,6.5%,9.9%,11.3%,10.5%,7.0%,7.3%,12.1%,6.8%,3.5%,41.2,20.9%,81.6%,79.1%,73.8%,26.6%,22.4%,"14,450",50.3%,49.7%,101.0,"4,091",45.9%,54.1%,84.8,,"18,273",99.3%,0.7%,99.3%,92.0%,3.3%,0.4%,0.1%,0.0%,0.0%,0.0%,0.7%,0.3%,0.3%,0.0%,0.0%,0.0%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,3.0%,0.7%,0.1%,0.2%,0.2%,0.0%,,"18,273",92.7%,3.4%,0.5%,1.0%,0.1%,3.0%,,"18,273",16.4%,15.7%,0.1%,0.1%,0.5%,83.6%,79.3%,2.9%,0.3%,0.6%,0.0%,0.0%,0.6%,0.0%,0.5%,"10,386",,"14,055",50.7%,49.3%
"Ector County, Texas",,"160,579",50.8%,49.2%,103.1,9.1%,8.8%,7.8%,7.2%,7.7%,16.7%,12.8%,10.6%,5.2%,4.6%,5.6%,2.8%,1.1%,30.4,30.2%,72.8%,69.8%,65.6%,12.1%,9.5%,"112,124",50.6%,49.4%,102.5,"15,237",43.9%,56.1%,78.4,,"160,579",97.0%,3.0%,97.0%,80.5%,4.8%,0.6%,0.0%,0.0%,0.0%,0.0%,1.2%,0.2%,0.2%,0.4%,0.0%,0.0%,0.2%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,10.0%,3.0%,1.1%,0.8%,0.1%,0.0%,,"160,579",83.2%,6.0%,1.5%,1.4%,0.1%,10.8%,,"160,579",60.7%,57.0%,0.2%,0.4%,3.0%,39.3%,32.3%,4.4%,0.2%,1.1%,0.0%,0.2%,1.1%,0.0%,1.1%,"58,393",,"98,664",50.4%,49.6%
"Ellis County, Texas",,"173,772",49.3%,50.7%,97.3,6.7%,7.3%,7.9%,7.5%,6.2%,12.8%,13.2%,13.4%,6.5%,5.7%,7.8%,3.7%,1.1%,36.2,26.8%,76.2%,73.2%,69.1%,15.8%,12.6%,"127,214",48.6%,51.4%,94.6,"21,930",44.7%,55.3%,80.8,,"173,772",96.2%,3.8%,96.2%,81.5%,10.1%,0.8%,0.1%,0.0%,0.0%,0.0%,0.6%,0.1%,0.1%,0.1%,0.0%,0.0%,0.2%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,3.1%,3.8%,1.0%,1.4%,0.4%,0.1%,,"173,772",85.0%,11.6%,2.7%,1.1%,0.1%,3.6%,,"173,772",26.2%,24.3%,0.2%,0.1%,1.7%,73.8%,60.8%,9.8%,0.3%,0.6%,0.0%,0.1%,2.1%,0.1%,2.0%,"61,722",,"119,689",48.1%,51.9%
"El Paso County, Texas",,"836,062",49.2%,50.8%,97.0,7.6%,7.3%,7.9%,7.7%,8.4%,14.9%,12.5%,11.5%,5.6%,4.8%,6.7%,3.6%,1.5%,32.2,27.5%,75.7%,72.5%,67.9%,14.7%,11.9%,"606,560",48.6%,51.4%,94.6,"99,552",42.6%,57.4%,74.2,,"836,062",97.3%,2.7%,97.3%,79.7%,3.3%,0.6%,0.0%,0.0%,0.1%,0.0%,1.2%,0.2%,0.2%,0.3%,0.1%,0.2%,0.1%,0.1%,0.1%,0.0%,0.1%,0.0%,0.0%,12.3%,2.7%,0.6%,0.4%,0.4%,0.0%,,"836,062",81.8%,4.4%,1.3%,1.8%,0.3%,13.3%,,"836,062",82.6%,78.2%,1.0%,0.2%,3.2%,17.4%,12.0%,3.0%,0.3%,1.1%,0.1%,0.1%,0.9%,0.0%,0.9%,"296,101",,"506,386",49.8%,50.2%
"Erath County, Texas",,"41,841",48.6%,51.4%,94.7,6.2%,6.2%,5.2%,9.8%,14.8%,12.9%,9.8%,10.5%,6.0%,4.7%,8.1%,3.8%,2.1%,30.4,20.9%,81.5%,79.1%,69.3%,16.5%,14.0%,"33,090",47.7%,52.3%,91.2,"5,875",45.7%,54.3%,84.2,,"41,841",98.1%,1.9%,98.1%,88.9%,1.9%,1.6%,0.0%,0.0%,0.0%,0.0%,0.9%,0.1%,0.1%,0.1%,0.0%,0.2%,0.2%,0.2%,0.2%,0.1%,0.0%,0.0%,0.1%,4.6%,1.9%,0.3%,0.5%,0.1%,0.0%,,"41,841",90.2%,2.6%,2.2%,1.1%,0.7%,5.4%,,"41,841",21.1%,16.4%,0.5%,0.3%,3.9%,78.9%,74.6%,1.9%,0.1%,0.9%,0.2%,0.0%,1.3%,0.1%,1.2%,"18,181",,"30,585",46.4%,53.6%
"Falls County, Texas",,"17,272",47.1%,52.9%,88.9,6.0%,5.7%,6.3%,5.2%,6.0%,15.2%,11.6%,13.2%,6.7%,6.1%,9.5%,5.7%,2.7%,39.0,21.3%,81.1%,78.7%,74.1%,21.5%,17.9%,"13,600",46.4%,53.6%,86.7,"3,095",48.1%,51.9%,92.8,,"17,272",99.0%,1.0%,99.0%,72.0%,24.5%,0.5%,0.2%,0.0%,0.0%,0.0%,0.5%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.5%,1.0%,0.1%,0.4%,0.1%,0.0%,,"17,272",72.5%,24.7%,1.3%,0.6%,0.0%,1.9%,,"17,272",23.2%,21.5%,0.2%,0.0%,1.5%,76.8%,51.2%,24.1%,0.4%,0.5%,0.0%,0.0%,0.6%,0.0%,0.6%,"7,781",,"12,958",45.5%,54.5%
"Fannin County, Texas",,"34,537",52.8%,47.2%,112.0,5.0%,5.2%,7.1%,6.2%,6.1%,12.6%,11.9%,13.5%,7.0%,6.8%,10.5%,5.7%,2.3%,41.3,21.2%,81.2%,78.8%,75.1%,22.7%,18.5%,"27,219",53.6%,46.4%,115.3,"6,398",48.0%,52.0%,92.4,,"34,537",96.7%,3.3%,96.7%,87.7%,5.7%,0.8%,0.1%,0.0%,0.0%,0.0%,0.7%,0.0%,0.1%,0.1%,0.0%,0.0%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,1.9%,3.3%,1.0%,1.2%,0.3%,0.0%,,"34,537",90.9%,6.8%,2.1%,1.0%,0.6%,2.0%,,"34,537",11.3%,10.0%,0.1%,0.1%,1.1%,88.7%,78.8%,5.6%,0.7%,0.6%,0.0%,0.0%,2.9%,0.0%,2.9%,"14,464",,"26,032",53.3%,46.7%
"Fayette County, Texas",,"25,141",49.3%,50.7%,97.2,5.0%,5.9%,6.1%,5.3%,4.9%,10.6%,9.5%,11.7%,8.0%,8.2%,13.5%,8.1%,3.0%,47.0,20.5%,81.9%,79.5%,76.0%,29.3%,24.6%,"19,984",48.8%,51.2%,95.2,"6,187",46.5%,53.5%,86.8,,"25,141",99.2%,0.8%,99.2%,90.2%,6.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%,0.0%,0.0%,0.1%,0.0%,0.0%,0.3%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,2.0%,0.8%,0.3%,0.2%,0.0%,0.0%,,"25,141",90.9%,6.9%,0.3%,0.5%,0.1%,2.1%,,"25,141",21.0%,20.2%,0.0%,0.0%,0.8%,79.0%,71.2%,6.5%,0.0%,0.5%,0.0%,0.1%,0.6%,0.0%,0.6%,"13,987",,"18,974",48.6%,51.4%
"Floyd County, Texas",,"5,803",48.7%,51.3%,95.1,6.3%,6.7%,9.2%,6.6%,6.3%,11.1%,12.8%,9.9%,6.4%,6.2%,9.3%,6.0%,3.3%,37.2,26.8%,75.8%,73.2%,69.5%,22.5%,18.6%,"4,247",48.2%,51.8%,93.0,"1,081",44.7%,55.3%,80.8,,"5,803",98.3%,1.7%,98.3%,92.6%,4.2%,0.1%,0.1%,0.0%,0.0%,0.0%,0.2%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.3%,1.7%,0.3%,1.4%,0.0%,0.0%,,"5,803",94.3%,4.4%,1.5%,0.2%,0.0%,1.3%,,"5,803",58.7%,55.2%,1.1%,0.2%,2.2%,41.3%,36.8%,2.9%,0.1%,0.2%,0.0%,0.0%,1.4%,0.0%,1.4%,"2,972",,"3,862",47.3%,52.7%
"Fort Bend County, Texas",,"765,394",49.1%,50.9%,96.5,6.9%,7.8%,8.0%,7.4%,5.8%,12.2%,15.3%,14.0%,6.1%,5.8%,7.1%,2.7%,0.9%,36.3,27.7%,75.5%,72.3%,68.5%,14.0%,10.6%,"553,725",48.4%,51.6%,93.6,"81,346",45.9%,54.1%,84.7,,"765,394",97.2%,2.8%,97.2%,51.7%,20.5%,0.3%,0.2%,0.0%,0.0%,0.0%,20.2%,8.3%,4.5%,1.6%,0.1%,0.4%,2.5%,2.8%,0.1%,0.0%,0.0%,0.0%,0.0%,4.3%,2.8%,0.6%,0.3%,0.8%,0.0%,,"765,394",53.9%,21.5%,0.8%,21.4%,0.1%,5.1%,,"765,394",24.5%,16.8%,0.5%,0.5%,6.7%,75.5%,33.1%,20.1%,0.2%,20.0%,0.1%,0.2%,1.8%,0.2%,1.6%,"251,641",,"466,249",48.4%,51.6%
"Franklin County, Texas",,"10,716",48.9%,51.1%,95.9,5.6%,6.5%,7.2%,7.9%,4.8%,10.0%,10.2%,12.4%,7.0%,6.7%,12.7%,7.2%,1.8%,43.2,24.2%,79.2%,75.8%,72.5%,25.3%,21.7%,"8,126",48.5%,51.5%,94.2,"2,324",46.0%,54.0%,85.2,,"10,716",96.3%,3.7%,96.3%,86.0%,4.4%,0.3%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5.6%,3.7%,1.1%,0.8%,0.0%,0.0%,,"10,716",89.5%,5.7%,1.1%,0.0%,0.0%,7.3%,,"10,716",14.5%,13.6%,0.0%,0.0%,0.9%,85.5%,78.7%,4.4%,0.3%,0.0%,0.0%,0.2%,2.0%,0.0%,2.0%,"5,827",,"7,661",48.8%,51.2%
"Freestone County, Texas",,"19,714",51.8%,48.2%,107.3,5.8%,6.9%,5.6%,6.3%,4.8%,12.3%,12.9%,12.7%,6.7%,6.5%,10.9%,6.6%,2.1%,41.5,22.8%,80.5%,77.2%,74.6%,24.3%,19.6%,"15,228",51.8%,48.2%,107.5,"3,866",45.3%,54.7%,83.0,,"19,714",98.3%,1.7%,98.3%,80.4%,15.2%,0.4%,0.0%,0.0%,0.0%,0.0%,0.7%,0.2%,0.3%,0.0%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,1.5%,1.7%,0.3%,0.5%,0.0%,0.0%,,"19,714",82.0%,15.8%,0.9%,0.8%,0.4%,2.0%,,"19,714",15.5%,14.2%,0.0%,0.2%,1.1%,84.5%,66.6%,15.1%,0.4%,0.4%,0.0%,0.3%,1.7%,0.3%,1.4%,"9,495",,"14,436",51.7%,48.3%
