"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income","Mean income","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","10,298","1.2%","0.6%","1.5%","3.8%","9.1%","15.8%","15.2%","26.3%","16.1%","10.3%","105,060","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,749","14.2%","10.0%","17.7%","9.5%","10.7%","15.7%","9.3%","8.4%","3.3%","1.2%","33,992","53,251","","(X)","(X)","33.4%"
"St. Helena Parish, Louisiana","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,857","9.8%","10.6%","13.4%","10.0%","13.5%","13.9%","10.7%","12.7%","3.8%","1.7%","43,886","61,237","","29.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,767","7.2%","4.4%","12.8%","7.8%","13.3%","16.6%","13.4%","17.1%","5.0%","2.3%","52,303","74,360","","(X)","31.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,921","3.4%","2.9%","7.8%","1.9%","11.6%","21.3%","16.9%","24.2%","6.8%","3.1%","75,899","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,090","16.4%","26.4%","16.2%","15.3%","14.9%","4.8%","3.8%","1.4%","0.8%","0.0%","19,650","27,099","","(X)","(X)","20.6%"
"St. James Parish, Louisiana","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,719","6.6%","8.3%","12.7%","9.7%","10.9%","15.1%","9.5%","14.8%","8.5%","4.0%","51,603","70,558","","40.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,732","3.1%","5.3%","10.2%","10.5%","10.8%","15.9%","9.6%","18.5%","11.1%","5.0%","65,405","81,717","","(X)","44.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,838","1.0%","0.9%","4.8%","7.8%","12.8%","15.0%","11.3%","24.2%","14.9%","7.3%","92,412","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,987","16.6%","17.0%","21.1%","7.9%","11.3%","11.9%","9.2%","3.3%","1.6%","0.2%","21,213","35,459","","(X)","(X)","31.9%"
"St. John the Baptist Parish, Louisiana","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","15,270","9.3%","5.0%","9.5%","7.8%","12.9%","19.9%","13.8%","14.3%","4.7%","2.9%","57,429","70,802","","43.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","11,104","7.4%","2.9%","7.8%","6.4%","12.6%","21.8%","15.0%","16.7%","5.7%","3.8%","64,251","79,449","","(X)","44.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","6,975","1.7%","0.5%","4.8%","6.1%","10.0%","21.9%","17.7%","23.6%","7.8%","5.9%","83,399","99,185","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,166","16.4%","10.4%","16.1%","11.0%","15.4%","16.6%","8.5%","4.7%","0.5%","0.4%","31,387","41,262","","(X)","(X)","36.1%"
"St. Landry Parish, Louisiana","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","30,485","15.2%","7.8%","14.3%","11.1%","13.7%","14.4%","8.4%","10.6%","2.3%","2.2%","36,403","54,740","","42.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","20,319","11.4%","4.1%","12.3%","10.2%","15.3%","16.0%","10.4%","14.4%","3.0%","2.8%","45,097","63,953","","(X)","42.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","13,094","2.9%","2.3%","9.8%","7.8%","14.1%","18.9%","14.9%","20.4%","4.5%","4.3%","65,522","82,505","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","10,166","26.5%","15.4%","17.2%","12.4%","10.7%","10.5%","3.0%","2.5%","0.7%","1.0%","19,216","33,145","","(X)","(X)","38.6%"
"St. Martin Parish, Louisiana","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","19,749","9.0%","5.8%","12.8%","11.4%","12.0%","16.1%","13.9%","11.2%","4.5%","3.4%","48,656","65,800","","35.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","13,960","6.4%","4.0%","10.8%","8.8%","13.7%","17.3%","16.6%","12.7%","5.1%","4.5%","58,000","74,706","","(X)","36.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","9,726","0.7%","2.0%","7.9%","7.9%","11.9%","18.2%","21.6%","17.3%","6.8%","5.8%","76,157","89,253","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,789","16.0%","10.8%","18.8%","16.2%","11.0%","12.2%","6.6%","5.2%","2.6%","0.6%","27,528","40,940","","(X)","(X)","31.7%"
"St. Mary Parish, Louisiana","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","19,856","11.7%","5.9%","10.9%","15.3%","17.1%","17.3%","8.8%","8.3%","2.5%","2.3%","40,485","54,359","","23.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","11,354","7.4%","3.6%","9.7%","12.8%","15.5%","17.6%","12.7%","12.7%","4.0%","3.8%","50,871","68,775","","(X)","27.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","7,517","4.3%","3.0%","4.2%","9.2%","13.9%","20.8%","15.6%","17.7%","5.9%","5.3%","67,017","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","8,502","18.0%","9.0%","13.0%","19.2%","19.1%","16.3%","2.8%","2.0%","0.3%","0.3%","28,920","33,673","","(X)","(X)","17.0%"
"St. Tammany Parish, Louisiana","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","92,962","5.1%","4.1%","9.0%","7.9%","11.3%","16.4%","14.2%","16.0%","8.0%","8.1%","68,905","91,595","","31.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","65,378","3.2%","1.9%","5.7%","6.5%","9.9%","16.5%","16.0%","19.0%","10.4%","10.9%","84,271","108,260","","(X)","32.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","49,459","1.0%","0.6%","2.7%","4.4%","8.3%","16.1%","17.8%","22.7%","12.8%","13.6%","98,730","125,262","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","27,584","10.6%","9.7%","17.1%","12.5%","14.8%","15.4%","9.3%","7.1%","2.0%","1.5%","35,068","48,818","","(X)","(X)","26.5%"
"Tangipahoa Parish, Louisiana","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","47,597","8.2%","7.0%","14.3%","10.5%","11.5%","16.5%","12.1%","12.3%","4.5%","3.1%","47,832","64,903","","29.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","31,796","5.5%","5.6%","10.4%","10.8%","11.6%","16.9%","14.1%","15.1%","5.9%","4.3%","60,415","75,653","","(X)","30.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","21,147","1.4%","2.7%","6.3%","8.3%","10.0%","18.8%","17.0%","20.9%","8.4%","6.1%","79,780","93,636","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","15,801","15.9%","10.5%","22.0%","11.4%","11.5%","13.7%","7.3%","5.4%","1.9%","0.4%","25,925","39,844","","(X)","(X)","24.9%"
"Tensas Parish, Louisiana","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","1,792","18.8%","8.1%","18.0%","15.2%","16.7%","9.8%","5.4%","5.5%","1.3%","1.2%","27,500","39,433","","45.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,102","12.4%","5.4%","17.3%","16.4%","16.4%","12.1%","7.5%","8.3%","2.2%","1.9%","34,022","48,867","","(X)","51.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","673","8.5%","4.8%","14.7%","12.8%","16.3%","14.3%","8.5%","13.5%","3.6%","3.1%","41,339","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","690","28.8%","12.9%","19.1%","15.7%","14.8%","5.5%","2.0%","1.2%","0.0%","0.0%","18,750","23,850","","(X)","(X)","33.0%"
"Terrebonne Parish, Louisiana","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","39,972","9.1%","5.9%","12.6%","11.1%","12.4%","15.2%","11.6%","13.0%","5.2%","3.8%","48,747","69,122","","37.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","27,126","6.6%","3.8%","8.8%","10.7%","13.2%","16.7%","12.9%","15.5%","6.9%","4.8%","60,379","77,946","","(X)","38.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","18,545","1.5%","2.0%","4.9%","8.3%","13.6%","18.3%","15.4%","20.0%","9.5%","6.4%","76,320","94,906","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","12,846","17.3%","10.4%","20.3%","12.4%","10.9%","12.4%","7.1%","6.4%","1.0%","1.7%","26,125","46,969","","(X)","(X)","34.0%"
"Union Parish, Louisiana","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,582","9.5%","10.2%","10.7%","10.6%","12.4%","19.2%","11.4%","8.9%","3.8%","3.2%","44,100","61,857","","28.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,899","4.4%","4.2%","7.8%","8.1%","14.7%","22.1%","15.8%","12.4%","5.9%","4.5%","60,895","78,259","","(X)","29.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,727","1.7%","2.4%","4.2%","6.7%","15.0%","24.0%","18.1%","14.7%","7.8%","5.5%","69,840","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,683","20.0%","21.1%","18.2%","15.4%","7.8%","11.4%","3.5%","1.9%","0.1%","0.6%","18,011","28,873","","(X)","(X)","25.8%"
"Vermilion Parish, Louisiana","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","22,086","9.0%","5.1%","10.2%","10.5%","13.6%","18.3%","12.6%","14.0%","4.0%","2.7%","51,945","66,097","","28.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","15,143","4.3%","3.1%","7.4%","9.5%","14.0%","20.0%","15.2%","17.7%","5.2%","3.6%","63,386","76,939","","(X)","28.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","11,197","1.7%","2.2%","4.3%","7.2%","12.8%","20.9%","17.5%","21.9%","6.5%","4.9%","75,572","88,951","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,943","20.2%","9.8%","17.8%","13.7%","12.7%","14.0%","4.9%","4.8%","1.3%","0.7%","26,039","39,052","","(X)","(X)","28.4%"
"Vernon Parish, Louisiana","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","17,696","8.8%","5.1%","11.7%","11.6%","13.8%","19.9%","11.9%","11.5%","3.5%","2.2%","49,141","63,430","","35.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","12,375","5.8%","3.1%","9.3%","11.2%","12.6%","22.2%","13.2%","14.9%","4.9%","2.8%","59,359","73,238","","(X)","34.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","9,706","2.2%","2.3%","7.5%","10.3%","12.6%","23.3%","14.9%","17.9%","5.5%","3.6%","65,489","82,032","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,321","17.6%","10.3%","17.9%","12.3%","16.4%","14.4%","7.6%","2.8%","0.5%","0.4%","28,442","38,146","","(X)","(X)","35.0%"
"Washington Parish, Louisiana","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","17,613","8.8%","9.0%","17.0%","13.2%","15.0%","14.8%","9.7%","8.6%","2.2%","1.6%","37,570","52,104","","34.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","11,924","5.1%","4.2%","16.5%","12.6%","15.3%","18.0%","12.4%","10.9%","2.8%","2.2%","46,898","60,734","","(X)","36.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","7,442","1.8%","2.5%","11.4%","9.3%","18.1%","16.7%","17.1%","15.9%","3.9%","3.3%","61,989","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,689","18.1%","19.1%","23.1%","12.3%","13.6%","7.9%","2.7%","2.6%","0.4%","0.2%","19,760","29,656","","(X)","(X)","28.1%"
"Webster Parish, Louisiana","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","16,551","13.4%","9.2%","21.9%","13.1%","14.5%","13.3%","5.6%","5.8%","1.9%","1.3%","28,951","43,967","","26.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","10,295","8.0%","5.3%","19.9%","12.6%","17.2%","16.7%","6.7%","9.0%","2.7%","2.0%","38,462","54,526","","(X)","28.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","6,860","2.1%","2.3%","12.0%","14.0%","22.0%","20.2%","9.1%","12.4%","3.2%","2.7%","48,464","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,256","23.6%","16.1%","26.4%","13.8%","9.0%","7.6%","2.3%","0.6%","0.4%","0.2%","18,170","24,921","","(X)","(X)","21.9%"
"West Baton Rouge Parish, Louisiana","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,643","5.4%","4.6%","7.9%","8.4%","10.2%","18.6%","14.1%","18.6%","7.9%","4.2%","65,385","79,390","","39.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,194","2.8%","2.4%","6.2%","8.3%","8.7%","20.2%","14.5%","22.6%","9.1%","5.3%","76,184","89,780","","(X)","38.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,964","0.9%","0.5%","3.1%","6.3%","4.8%","19.1%","16.9%","28.8%","12.6%","7.2%","96,250","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,449","13.7%","12.2%","18.3%","9.3%","11.5%","18.3%","8.7%","6.7%","0.5%","1.0%","30,217","41,430","","(X)","(X)","43.5%"
"West Carroll Parish, Louisiana","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,084","11.8%","7.3%","15.0%","12.0%","13.4%","16.5%","11.3%","6.7%","3.3%","2.7%","38,500","55,983","","32.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,693","6.8%","3.4%","12.4%","13.6%","13.8%","18.6%","14.4%","9.2%","4.9%","2.8%","49,983","66,721","","(X)","30.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,861","2.4%","1.7%","8.2%","13.3%","14.1%","22.0%","17.9%","11.2%","5.7%","3.5%","60,222","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,391","24.3%","15.5%","19.1%","8.1%","11.1%","12.3%","6.3%","0.8%","0.2%","2.4%","18,082","33,763","","(X)","(X)","35.4%"
"West Feliciana Parish, Louisiana","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,869","7.3%","4.8%","8.3%","6.7%","11.8%","19.2%","10.6%","15.9%","8.6%","6.8%","59,637","85,586","","46.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,497","4.8%","0.3%","6.1%","3.3%","10.4%","20.1%","10.9%","21.7%","13.3%","9.3%","86,033","107,277","","(X)","46.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,822","0.3%","0.0%","2.8%","1.2%","7.4%","17.3%","13.0%","27.1%","18.3%","12.7%","122,926","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,372","11.8%","13.0%","12.5%","13.3%","14.9%","17.6%","9.8%","4.7%","0.0%","2.4%","34,500","45,336","","(X)","(X)","46.5%"
"Winn Parish, Louisiana","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,483","10.0%","7.4%","17.3%","13.5%","13.1%","13.6%","10.0%","9.0%","3.2%","2.7%","38,353","56,203","","25.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,661","6.7%","4.4%","14.3%","10.5%","14.6%","14.7%","14.3%","12.3%","4.8%","3.4%","49,159","65,796","","(X)","27.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,634","2.1%","3.7%","10.3%","6.7%","14.1%","17.4%","17.7%","16.9%","6.2%","4.7%","68,365","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,822","16.7%","13.4%","23.7%","20.4%","12.8%","9.2%","1.4%","1.0%","0.0%","1.3%","20,733","35,030","","(X)","(X)","21.6%"
"Androscoggin County, Maine","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","45,630","5.7%","4.9%","10.7%","9.6%","16.1%","18.5%","13.3%","13.9%","4.6%","2.7%","53,509","69,091","","26.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","28,033","2.5%","2.1%","6.7%","9.4%","14.0%","21.1%","15.6%","18.5%","6.4%","3.7%","68,039","82,179","","(X)","26.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","20,783","0.7%","1.0%","3.8%","6.5%","12.3%","20.8%","18.9%","22.7%","8.4%","4.9%","80,606","95,152","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","17,597","11.7%","9.7%","19.1%","12.7%","17.4%","14.3%","7.6%","5.0%","1.6%","0.7%","32,038","43,693","","(X)","(X)","24.6%"
"Aroostook County, Maine","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","29,516","8.7%","8.9%","13.7%","12.1%","14.2%","17.4%","11.1%","8.9%","3.0%","2.1%","41,123","56,724","","34.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","18,287","4.2%","3.2%","9.6%","11.6%","15.5%","21.1%","15.1%","13.1%","4.1%","2.6%","56,388","69,521","","(X)","33.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","14,629","1.9%","2.0%","8.2%","10.2%","14.9%","21.8%","17.8%","15.4%","4.7%","3.0%","64,067","76,226","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","11,229","17.0%","18.5%","21.2%","13.2%","11.7%","11.2%","3.6%","1.9%","0.7%","1.1%","20,930","33,730","","(X)","(X)","34.1%"
"Cumberland County, Maine","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","120,644","4.9%","3.5%","7.1%","7.4%","10.8%","17.4%","14.3%","18.1%","8.0%","8.5%","73,072","95,943","","31.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","72,038","1.9%","1.3%","3.5%","5.3%","8.3%","16.3%","16.3%","23.6%","11.3%","12.2%","94,813","118,646","","(X)","31.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","58,033","0.8%","0.7%","2.4%","4.2%","6.6%","15.0%","16.8%","26.2%","13.0%","14.4%","104,975","129,488","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","48,606","9.7%","7.0%","12.6%","11.3%","15.2%","19.7%","10.6%","8.8%","2.7%","2.5%","44,338","58,674","","(X)","(X)","30.3%"
"Franklin County, Maine","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","11,848","5.3%","6.5%","10.7%","11.1%","15.3%","22.1%","12.7%","10.0%","3.0%","3.3%","51,422","64,842","","27.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,246","1.7%","2.5%","6.0%","9.8%","12.8%","27.5%","16.8%","14.3%","3.8%","4.8%","63,623","79,884","","(X)","27.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,908","0.9%","1.5%","2.8%","8.0%","12.7%","27.6%","19.3%","16.9%","4.6%","5.8%","71,950","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,602","11.5%","12.9%","18.7%","13.8%","19.2%","14.1%","5.3%","2.4%","1.0%","1.0%","28,107","38,386","","(X)","(X)","25.6%"
"Hancock County, Maine","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","23,661","5.8%","5.5%","8.9%","9.6%","13.6%","20.1%","13.4%","12.8%","4.9%","5.4%","57,178","77,170","","30.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","14,905","3.1%","2.3%","4.2%","8.0%","11.9%","22.9%","17.2%","15.9%","7.1%","7.4%","72,642","93,074","","(X)","30.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","12,140","1.3%","1.4%","2.9%","6.5%","10.6%","23.0%","19.3%","17.7%","8.4%","8.9%","79,441","101,980","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","8,756","11.2%","11.1%","18.0%","13.5%","16.9%","14.7%","6.1%","6.3%","0.7%","1.6%","31,259","46,383","","(X)","(X)","28.9%"
"Kennebec County, Maine","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","52,105","6.2%","4.8%","10.8%","10.0%","13.9%","18.3%","14.9%","13.0%","4.4%","3.6%","55,365","70,956","","27.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","31,868","3.5%","2.0%","7.3%","8.2%","11.5%","19.7%","19.0%","17.4%","6.2%","5.0%","71,514","85,057","","(X)","27.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","23,964","1.2%","0.7%","5.1%","6.0%","9.3%","20.1%","22.1%","21.2%","8.0%","6.3%","83,278","97,813","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","20,237","11.4%","10.1%","17.6%","14.0%","18.2%","14.2%","7.3%","4.8%","1.1%","1.2%","32,033","44,348","","(X)","(X)","25.5%"
"Knox County, Maine","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","17,020","4.0%","5.4%","10.0%","10.0%","12.7%","19.8%","14.4%","14.9%","4.8%","4.0%","57,751","75,377","","32.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","10,593","3.6%","2.4%","4.3%","9.5%","10.4%","22.9%","16.5%","18.9%","5.9%","5.6%","71,412","89,210","","(X)","31.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","8,359","1.1%","1.4%","2.8%","6.7%","10.3%","23.2%","18.2%","22.6%","6.9%","6.9%","80,008","100,602","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,427","5.0%","11.4%","19.9%","13.2%","16.0%","15.2%","8.3%","6.7%","3.1%","1.4%","35,621","49,090","","(X)","(X)","33.1%"
"Lincoln County, Maine","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","15,336","5.4%","5.0%","9.8%","9.2%","13.9%","20.2%","14.5%","14.0%","3.8%","4.2%","57,720","74,439","","28.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","9,793","3.7%","2.6%","4.6%","6.9%","12.8%","22.0%","18.1%","18.4%","5.3%","5.7%","72,573","88,794","","(X)","28.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","7,699","1.0%","1.7%","2.0%","5.3%","10.4%","22.0%","21.5%","22.7%","6.4%","7.2%","84,603","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,543","10.3%","10.7%","20.3%","13.7%","15.6%","15.4%","7.3%","4.2%","1.3%","1.3%","32,549","44,848","","(X)","(X)","26.1%"
"Oxford County, Maine","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","21,338","6.2%","5.0%","12.6%","11.6%","15.4%","19.4%","13.0%","11.5%","3.4%","1.8%","49,204","62,267","","31.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","14,006","4.2%","2.8%","8.7%","9.8%","14.8%","21.3%","17.3%","14.7%","4.2%","2.3%","60,613","72,030","","(X)","31.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","10,960","2.2%","1.7%","5.7%","8.0%","13.7%","22.9%","19.7%","17.9%","5.2%","2.9%","70,560","80,765","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","7,332","12.3%","10.6%","20.2%","17.1%","16.1%","14.5%","4.3%","3.2%","1.0%","0.7%","28,397","38,795","","(X)","(X)","32.5%"
"Penobscot County, Maine","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","62,156","6.5%","5.9%","12.6%","10.5%","13.7%","18.1%","12.9%","12.7%","3.7%","3.2%","50,808","67,198","","31.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","37,742","3.4%","2.8%","6.7%","9.0%","13.7%","20.5%","17.3%","17.0%","5.3%","4.3%","67,476","81,761","","(X)","29.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","28,757","1.1%","1.2%","4.2%","7.0%","12.8%","21.3%","19.6%","20.8%","6.5%","5.5%","77,817","93,320","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
