"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income (dollars)","Mean income (dollars)","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,738","1.6%","1.1%","2.6%","6.2%","11.1%","22.6%","19.1%","21.8%","8.3%","5.6%","80,847","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,102","9.4%","9.2%","19.7%","17.2%","13.9%","18.9%","4.5%","3.4%","1.2%","2.6%","31,667","49,228","","(X)","(X)","26.7%"
"Arenac County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,292","5.1%","6.2%","10.1%","12.7%","16.9%","22.3%","12.8%","9.7%","2.0%","2.4%","48,989","60,836","","40.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,922","2.0%","3.4%","5.8%","10.4%","16.0%","25.7%","16.8%","14.0%","2.8%","3.1%","61,489","72,628","","(X)","38.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,141","1.1%","1.5%","3.6%","9.9%","14.5%","27.2%","18.6%","16.4%","3.5%","3.6%","65,215","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,370","10.7%","11.0%","17.8%","16.4%","18.8%","15.5%","5.7%","2.4%","0.4%","1.4%","30,417","39,965","","(X)","(X)","43.0%"
"Baraga County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,164","7.4%","4.7%","13.4%","12.5%","16.8%","16.2%","11.0%","11.0%","4.8%","2.3%","45,792","62,696","","36.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,046","3.7%","1.7%","8.4%","12.2%","17.4%","17.3%","13.5%","15.7%","6.9%","3.2%","58,000","76,464","","(X)","37.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,631","2.1%","0.3%","5.0%","11.6%","18.2%","16.8%","14.3%","19.1%","8.5%","4.0%","69,129","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,118","15.7%","10.6%","21.9%","14.3%","13.8%","14.4%","6.4%","2.0%","0.6%","0.4%","26,500","35,418","","(X)","(X)","30.6%"
"Barry County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","24,115","4.5%","2.9%","6.9%","7.1%","13.2%","19.9%","14.8%","18.4%","6.5%","5.8%","68,779","90,072","","34.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","16,489","2.4%","1.7%","3.8%","3.9%","9.5%","19.9%","19.0%","23.7%","8.4%","7.6%","85,875","106,607","","(X)","33.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","13,488","0.7%","0.9%","2.2%","2.6%","8.7%","18.5%","20.2%","27.0%","10.0%","9.1%","94,663","117,436","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","7,626","10.5%","5.6%","14.6%","15.1%","20.6%","19.4%","5.9%","5.0%","1.6%","1.6%","38,113","50,107","","(X)","(X)","34.2%"
"Bay County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","45,007","7.0%","5.3%","9.1%","11.6%","15.0%","19.0%","12.5%","12.3%","4.9%","3.3%","52,510","68,790","","41.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","27,503","3.2%","2.8%","6.2%","9.0%","12.9%","21.5%","15.3%","17.3%","7.1%","4.7%","67,449","83,661","","(X)","41.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","19,730","0.9%","0.8%","2.5%","6.0%","11.8%","23.7%","16.9%","22.0%","9.2%","6.2%","81,273","98,026","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","17,504","14.2%","9.8%","15.6%","16.2%","17.1%","14.1%","7.9%","3.4%","0.8%","0.9%","31,781","41,596","","(X)","(X)","39.8%"
"Benzie County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,817","3.7%","4.1%","8.9%","8.1%","12.5%","17.5%","17.0%","18.5%","5.1%","4.5%","68,875","83,073","","34.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,543","1.1%","3.3%","4.8%","5.5%","10.8%","18.5%","20.8%","22.4%","7.0%","6.0%","82,780","97,893","","(X)","33.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,825","0.5%","2.3%","4.7%","4.2%","9.3%","17.6%","22.5%","24.3%","7.8%","6.7%","87,489","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,274","9.5%","6.5%","17.9%","13.3%","16.4%","15.5%","9.4%","9.2%","1.4%","1.0%","37,250","50,510","","(X)","(X)","37.2%"
"Berrien County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","63,403","6.2%","5.0%","11.3%","10.2%","12.0%","17.8%","12.5%","13.9%","5.7%","5.3%","55,893","79,011","","39.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","40,862","4.5%","2.9%","8.0%","7.9%","10.9%","17.7%","15.5%","18.0%","7.8%","6.9%","71,964","93,464","","(X)","39.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","29,814","1.5%","1.0%","4.7%","5.2%","9.8%","18.6%","17.8%","22.4%","10.2%","8.9%","89,359","109,145","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","22,541","10.9%","8.9%","18.3%","14.8%","14.0%","16.7%","6.6%","5.9%","1.8%","2.1%","33,295","49,655","","(X)","(X)","36.6%"
"Branch County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","16,625","4.2%","3.5%","9.9%","10.3%","15.4%","22.7%","14.5%","12.6%","3.8%","3.0%","56,077","70,987","","38.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","10,832","2.8%","1.7%","5.5%","7.3%","15.3%","24.5%","17.5%","16.1%","5.3%","4.0%","66,334","82,581","","(X)","39.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","8,162","1.8%","0.9%","3.5%","5.3%","12.7%","25.8%","19.1%","19.1%","6.7%","5.1%","74,932","92,751","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,793","7.6%","7.6%","18.3%","17.4%","17.6%","18.8%","6.1%","4.5%","1.2%","0.9%","34,349","45,682","","(X)","(X)","36.2%"
"Calhoun County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","53,197","5.4%","5.3%","10.6%","12.0%","13.7%","19.3%","12.4%","12.5%","5.1%","3.8%","53,286","71,207","","32.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","32,824","3.3%","2.8%","7.1%","9.7%","11.4%","20.3%","15.3%","17.6%","7.2%","5.2%","68,504","86,106","","(X)","31.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","22,759","1.1%","1.4%","3.9%","7.2%","9.6%","20.2%","17.3%","22.6%","9.9%","6.9%","83,793","101,579","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","20,373","9.9%","9.5%","18.0%","16.0%","17.1%","17.1%","6.7%","3.5%","1.2%","1.0%","32,621","43,208","","(X)","(X)","33.0%"
"Cass County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","20,704","6.1%","3.4%","7.2%","9.8%","14.5%","17.9%","12.5%","15.3%","7.4%","6.0%","60,725","85,760","","40.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","14,228","5.1%","2.3%","4.0%","8.2%","12.8%","18.3%","15.2%","18.1%","9.1%","7.0%","73,252","97,178","","(X)","41.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","10,862","1.5%","0.8%","2.4%","5.3%","12.8%","17.4%","16.8%","22.7%","11.5%","8.9%","88,156","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,476","10.5%","7.0%","15.8%","15.1%","16.2%","16.7%","6.6%","5.8%","3.4%","3.0%","36,457","53,580","","(X)","(X)","36.8%"
"Charlevoix County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","11,769","3.7%","3.2%","9.9%","8.9%","12.3%","21.2%","14.3%","14.4%","5.9%","6.3%","63,508","86,166","","30.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,818","1.7%","1.2%","4.9%","6.2%","10.7%","23.0%","17.4%","18.8%","7.5%","8.6%","78,428","104,306","","(X)","28.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","6,309","1.1%","0.6%","2.6%","4.7%","9.5%","22.8%","18.4%","21.2%","8.9%","10.2%","86,320","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,951","8.2%","7.4%","20.5%","14.3%","16.3%","18.0%","6.7%","4.5%","2.3%","1.8%","34,698","47,308","","(X)","(X)","32.1%"
"Cheboygan County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","10,671","5.6%","5.1%","9.9%","10.9%","14.8%","20.9%","15.4%","10.9%","3.5%","3.0%","53,482","66,283","","40.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,029","2.7%","1.7%","6.9%","9.8%","14.9%","22.5%","18.3%","14.3%","4.9%","4.1%","63,237","77,356","","(X)","40.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,706","1.4%","1.1%","5.7%","7.6%","12.6%","23.6%","20.6%","16.9%","5.7%","4.9%","72,326","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,642","11.6%","12.4%","15.8%","15.3%","13.7%","17.2%","9.0%","3.5%","0.6%","0.9%","32,044","42,667","","(X)","(X)","38.9%"
"Chippewa County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","13,757","7.7%","6.5%","9.8%","11.1%","11.8%","22.2%","12.2%","11.8%","3.9%","3.0%","53,079","71,531","","34.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","8,328","5.8%","3.5%","6.8%","7.1%","10.7%","24.1%","16.3%","15.5%","5.7%","4.6%","68,403","89,837","","(X)","35.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","6,243","1.4%","0.8%","4.4%","5.6%","10.2%","25.5%","19.1%","19.6%","7.5%","5.8%","77,280","106,686","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,429","12.0%","12.1%","15.2%","16.6%","14.0%","18.6%","5.2%","4.7%","0.9%","0.6%","30,272","40,620","","(X)","(X)","32.3%"
"Clare County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","11,686","6.6%","7.7%","13.1%","12.3%","17.7%","18.5%","11.2%","8.4%","2.0%","2.4%","43,069","57,787","","36.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,528","5.0%","5.8%","9.6%","9.6%","18.1%","21.6%","13.2%","11.1%","2.9%","2.9%","51,789","65,504","","(X)","38.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,871","2.6%","2.6%","6.9%","8.3%","18.8%","24.0%","15.6%","13.9%","3.7%","3.6%","59,688","74,625","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,158","11.1%","12.6%","21.4%","16.8%","15.3%","12.6%","6.3%","2.4%","0.3%","1.2%","26,756","40,535","","(X)","(X)","32.1%"
"Clinton County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","30,835","3.8%","1.8%","6.3%","7.9%","12.1%","17.3%","14.8%","19.3%","9.3%","7.4%","76,161","96,520","","30.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","21,005","1.9%","1.0%","2.9%","5.6%","9.1%","17.1%","16.7%","23.7%","12.9%","9.1%","92,900","112,987","","(X)","30.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","16,991","0.6%","0.4%","1.7%","3.1%","7.8%","16.0%","17.4%","26.7%","15.4%","10.9%","104,010","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","9,830","9.1%","4.2%","14.3%","13.4%","19.0%","16.4%","11.8%","7.9%","0.9%","3.1%","40,998","56,203","","(X)","(X)","28.2%"
"Crawford County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,705","7.7%","6.0%","11.4%","8.9%","13.1%","20.7%","15.4%","12.4%","3.0%","1.4%","54,240","62,778","","29.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,649","4.5%","2.9%","6.7%","7.9%","12.3%","22.4%","21.6%","15.9%","3.7%","2.1%","70,427","74,075","","(X)","28.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,876","2.4%","1.6%","3.1%","7.3%","12.0%","24.7%","23.9%","17.7%","4.7%","2.6%","74,466","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,056","13.4%","11.6%","20.6%","10.7%","14.6%","17.9%","4.7%","5.7%","0.6%","0.3%","29,375","41,018","","(X)","(X)","31.2%"
"Delta County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","15,695","4.8%","7.2%","11.8%","10.3%","15.1%","18.3%","13.3%","12.4%","4.0%","2.8%","51,117","67,051","","35.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","10,146","2.9%","3.6%","5.5%","8.8%","14.7%","21.3%","17.0%","16.5%","6.0%","3.7%","66,417","81,602","","(X)","35.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","8,003","1.3%","2.0%","4.1%","5.7%","14.7%","21.4%","20.2%","19.0%","7.0%","4.6%","75,730","90,443","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,549","9.2%","13.9%","24.1%","15.0%","15.6%","12.2%","5.7%","2.8%","0.3%","1.1%","26,899","37,340","","(X)","(X)","32.7%"
"Dickinson County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","11,394","5.9%","3.8%","8.3%","10.6%","14.6%","20.7%","14.0%","13.9%","5.1%","3.1%","54,775","71,980","","30.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,172","3.0%","1.4%","3.4%","7.3%","15.2%","22.2%","17.4%","19.0%","6.3%","4.8%","71,301","87,903","","(X)","33.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,467","0.9%","0.3%","1.9%","6.1%","13.2%","22.7%","19.7%","23.0%","6.9%","5.3%","82,917","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,222","11.3%","7.9%","16.7%","16.2%","15.3%","19.8%","6.4%","4.1%","2.4%","0.2%","34,150","42,495","","(X)","(X)","24.1%"
"Eaton County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","44,895","3.6%","2.7%","6.1%","7.4%","12.9%","19.7%","17.7%","17.7%","7.2%","5.0%","72,173","87,599","","32.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","29,294","2.1%","0.9%","3.0%","4.8%","10.0%","19.0%","20.4%","23.3%","9.8%","6.8%","88,267","103,575","","(X)","32.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","22,645","1.2%","0.5%","1.7%","3.4%","7.2%","16.9%","22.1%","26.7%","12.1%","8.2%","96,737","115,056","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","15,601","6.6%","6.3%","12.8%","13.2%","19.0%","21.7%","11.0%","6.5%","1.6%","1.3%","43,005","53,842","","(X)","(X)","32.6%"
"Emmet County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","14,280","3.6%","4.1%","6.8%","10.3%","12.7%","21.7%","13.5%","12.8%","7.0%","7.5%","63,488","90,615","","34.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","9,481","1.7%","1.8%","4.4%","7.6%","10.4%","22.1%","16.0%","16.9%","9.4%","9.9%","77,646","106,292","","(X)","37.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","7,684","0.8%","0.4%","3.7%","4.8%","8.7%","23.0%","16.7%","19.8%","10.9%","11.1%","87,135","116,517","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,799","7.9%","10.5%","12.1%","16.6%","16.9%","18.3%","8.7%","4.3%","1.9%","2.8%","37,779","53,289","","(X)","(X)","28.4%"
"Genesee County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","164,905","7.3%","4.9%","9.4%","10.3%","14.5%","18.8%","11.9%","13.3%","5.4%","4.3%","54,052","74,024","","41.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","104,132","4.4%","2.9%","6.5%","8.4%","12.4%","20.1%","13.8%","18.1%","7.5%","5.9%","68,647","89,456","","(X)","40.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","69,456","1.2%","1.1%","2.7%","5.1%","10.8%","20.8%","16.0%","23.7%","10.4%","8.3%","87,142","108,906","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","60,773","13.7%","8.8%","15.3%","14.2%","18.2%","15.9%","7.5%","4.6%","1.0%","0.9%","33,836","43,264","","(X)","(X)","40.0%"
"Gladwin County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","10,714","6.9%","5.3%","12.6%","10.5%","16.9%","16.8%","13.7%","10.7%","4.4%","2.1%","48,279","65,061","","36.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,854","3.5%","2.2%","7.6%","10.4%","17.0%","19.9%","16.2%","14.2%","6.2%","2.7%","60,632","76,601","","(X)","37.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,612","1.9%","1.5%","5.3%","8.2%","17.1%","21.0%","18.0%","16.4%","7.2%","3.3%","69,904","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,860","14.0%","11.4%","21.5%","12.0%","16.4%","10.1%","9.2%","3.7%","0.8%","0.9%","26,639","42,218","","(X)","(X)","33.8%"
"Gogebic County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,770","8.6%","6.1%","15.9%","11.4%","15.6%","17.1%","8.8%","10.6%","2.6%","3.2%","41,948","61,063","","32.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,672","3.5%","2.0%","9.9%","9.7%","15.7%","20.9%","12.4%","16.8%","4.2%","4.9%","60,935","78,596","","(X)","33.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,934","2.8%","1.1%","4.0%","8.2%","14.9%","22.7%","14.6%","20.3%","5.2%","6.1%","68,317","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,098","14.6%","11.4%","23.6%","14.9%","15.8%","11.1%","3.7%","2.9%","0.7%","1.2%","25,280","38,831","","(X)","(X)","31.1%"
"Grand Traverse County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","38,511","4.5%","2.8%","6.6%","9.6%","13.0%","18.1%","15.4%","18.3%","5.4%","6.1%","69,393","87,388","","28.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","24,131","2.2%","2.0%","4.0%","5.9%","11.0%","17.4%","19.3%","22.3%","7.9%","8.0%","85,900","101,866","","(X)","28.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","19,245","0.8%","1.0%","2.0%","4.3%","9.7%","16.4%","21.5%","25.2%","9.4%","9.8%","93,900","113,529","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","14,380","9.1%","5.3%","12.3%","16.6%","16.0%","18.5%","7.8%","10.8%","0.9%","2.7%","41,600","59,539","","(X)","(X)","26.8%"
"Gratiot County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","14,859","5.2%","5.6%","9.4%","10.9%","15.2%","20.4%","13.4%","12.4%","4.2%","3.2%","53,347","70,900","","34.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","10,036","4.2%","2.3%","5.6%","7.5%","14.6%","22.5%","16.7%","17.0%","5.4%","4.3%","64,550","84,067","","(X)","35.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","7,729","1.9%","0.9%","3.9%","5.1%","13.6%","23.2%","18.8%","20.9%","6.4%","5.2%","77,030","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,823","8.9%","12.4%","18.1%","19.3%","17.0%","14.5%","5.2%","2.8%","0.9%","0.8%","31,104","39,453","","(X)","(X)","32.5%"
"Hillsdale County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","17,683","5.0%","4.3%","9.6%","12.0%","15.3%","20.0%","14.1%","12.9%","3.7%","3.2%","54,110","68,679","","35.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","11,651","3.6%","1.7%","5.4%","9.6%","14.6%","22.1%","16.7%","16.9%","5.0%","4.3%","65,351","80,609","","(X)","34.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","9,169","2.0%","1.3%","3.3%","6.5%","14.2%","23.5%","18.2%","19.6%","6.2%","5.3%","74,333","89,404","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,032","9.5%","9.5%","19.2%","17.1%","15.7%","15.3%","7.8%","4.0%","1.1%","0.9%","30,652","42,512","","(X)","(X)","34.0%"
"Houghton County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","13,884","9.0%","5.5%","13.4%","10.1%","13.4%","16.2%","11.6%","12.3%","4.2%","4.2%","48,623","68,333","","32.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,521","3.6%","2.1%","5.1%","7.8%","12.4%","19.5%","16.0%","19.3%","7.5%","6.7%","74,367","93,162","","(X)","30.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","6,035","1.7%","0.7%","3.5%","6.6%","11.6%","19.8%","18.1%","20.5%","9.1%","8.2%","82,464","101,147","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,363","16.1%","10.0%","23.3%","12.9%","14.8%","11.7%","6.2%","3.6%","0.4%","1.0%","25,402","37,109","","(X)","(X)","33.1%"
"Huron County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","13,474","5.4%","4.9%","12.1%","9.6%","15.9%","21.6%","11.9%","11.5%","3.5%","3.6%","51,924","67,095","","39.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","8,149","2.3%","2.1%","6.6%","8.1%","14.4%","23.9%","16.6%","15.9%","5.0%","5.2%","66,646","82,745","","(X)","38.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","6,707","1.3%","1.4%","4.6%","6.4%","13.7%","24.1%","18.4%","18.0%","5.9%","6.1%","73,407","89,907","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,325","10.6%","9.1%","22.3%","13.1%","18.1%","16.7%","4.2%","3.8%","1.1%","1.0%","30,991","40,709","","(X)","(X)","39.9%"
"Ingham County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","114,732","7.7%","4.6%","9.0%","9.7%","12.8%","17.4%","12.5%","14.7%","5.8%","5.7%","58,226","80,191","","31.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","61,293","3.9%","2.1%","5.8%","6.4%","9.9%","16.6%","15.5%","21.8%","8.8%","9.3%","82,368","104,506","","(X)","31.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","43,957","1.5%","0.5%","2.7%","4.0%","7.5%","15.9%","17.0%","27.1%","11.5%","12.4%","101,166","124,367","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","53,439","12.9%","7.9%","13.3%","13.6%","16.5%","17.6%","8.8%","6.1%","1.8%","1.4%","36,887","49,807","","(X)","(X)","29.2%"
"Ionia County, Michigan","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","22,782","4.2%","3.6%","7.7%","7.7%","14.4%","22.0%","17.0%","15.9%","5.6%","1.9%","64,436","74,176","","30.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","15,702","2.5%","1.7%","4.2%","5.8%","13.0%","25.1%","18.6%","19.6%","7.2%","2.3%","72,467","82,810","","(X)","30.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","12,361","0.5%","0.5%","2.8%","3.7%","11.0%","24.9%","21.8%","23.2%","8.9%","2.6%","83,248","92,026","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","7,080","9.0%","8.2%","15.7%","13.4%","17.9%","17.5%","10.1%","5.5%","1.9%","0.8%","38,171","49,664","","(X)","(X)","30.2%"
