"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income","Mean income","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,938","11.4%","7.7%","17.0%","9.1%","15.4%","19.6%","8.4%","7.5%","2.5%","1.4%","38,302","50,514","","28.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,961","2.9%","3.5%","12.0%","10.1%","19.0%","23.4%","11.8%","11.3%","3.9%","2.1%","51,774","64,501","","(X)","27.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,118","1.7%","3.5%","10.4%","6.9%","18.2%","27.3%","11.6%","13.5%","4.5%","2.3%","57,993","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,977","26.0%","14.8%","27.5%","6.6%","8.2%","12.4%","2.8%","1.1%","0.3%","0.3%","16,690","26,228","","(X)","(X)","28.1%"
"Tunica County, Mississippi","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,964","15.5%","10.5%","11.3%","13.3%","15.4%","19.6%","6.2%","6.1%","1.8%","0.1%","34,485","41,992","","45.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,191","9.6%","8.4%","10.2%","18.3%","18.1%","15.3%","7.2%","9.3%","3.3%","0.2%","40,736","48,809","","(X)","52.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,018","0.0%","1.4%","3.8%","16.6%","24.0%","19.5%","13.9%","13.1%","7.2%","0.5%","51,514","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,773","24.5%","13.1%","13.7%","16.5%","12.2%","13.4%","4.5%","2.1%","0.0%","0.0%","23,825","30,339","","(X)","(X)","33.6%"
"Union County, Mississippi","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,849","5.6%","5.8%","13.0%","10.3%","17.5%","17.9%","15.0%","8.1%","3.1%","3.7%","47,317","62,235","","39.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,757","4.0%","1.4%","7.3%","10.2%","15.3%","22.5%","18.9%","11.1%","4.1%","5.3%","61,735","74,976","","(X)","41.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,986","1.0%","1.0%","6.4%","7.7%","13.3%","24.5%","20.6%","13.3%","5.2%","6.9%","71,324","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,092","12.1%","15.5%","25.5%","14.4%","18.6%","7.2%","4.6%","1.9%","0.0%","0.2%","23,622","30,992","","(X)","(X)","34.4%"
"Walthall County, Mississippi","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,707","19.1%","9.6%","11.0%","10.5%","15.6%","12.7%","6.3%","12.0%","1.8%","1.3%","33,566","52,131","","42.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,421","7.2%","4.1%","5.4%","14.6%","19.1%","19.7%","7.0%","18.8%","2.5%","1.6%","49,663","65,771","","(X)","47.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,472","3.2%","4.5%","4.2%","13.7%","12.7%","24.7%","5.5%","25.8%","3.4%","2.3%","57,257","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,286","36.9%","18.0%","19.5%","5.2%","9.7%","2.3%","5.1%","1.9%","0.8%","0.7%","13,798","31,620","","(X)","(X)","35.4%"
"Warren County, Mississippi","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","18,107","10.4%","6.2%","11.6%","10.2%","15.8%","17.1%","9.5%","11.2%","4.5%","3.6%","46,909","65,247","","37.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","11,132","8.2%","3.6%","7.8%","9.2%","14.0%","19.3%","10.9%","15.7%","6.3%","5.0%","57,841","77,757","","(X)","40.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","7,321","4.0%","0.8%","3.3%","5.6%","14.9%","18.8%","14.2%","21.9%","9.4%","7.0%","79,252","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,975","14.9%","10.9%","16.7%","12.6%","18.3%","13.1%","6.7%","3.8%","1.6%","1.5%","30,086","44,207","","(X)","(X)","30.6%"
"Washington County, Mississippi","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","17,882","14.6%","8.8%","17.0%","12.3%","11.2%","16.0%","7.5%","6.5%","4.0%","2.2%","32,011","54,410","","38.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","11,354","9.8%","6.2%","16.1%","10.6%","12.1%","20.2%","9.3%","8.7%","4.0%","3.1%","44,413","62,956","","(X)","40.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","6,046","2.7%","2.1%","10.3%","8.5%","12.0%","24.5%","14.1%","13.9%","6.7%","5.3%","64,515","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,528","23.8%","14.7%","19.6%","14.4%","10.3%","7.8%","2.8%","2.2%","3.7%","0.7%","20,746","36,747","","(X)","(X)","32.3%"
"Wayne County, Mississippi","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,967","12.3%","9.2%","19.5%","10.4%","9.2%","10.5%","14.7%","6.7%","4.0%","3.5%","33,612","58,140","","33.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,337","8.5%","1.1%","16.1%","11.7%","11.3%","12.0%","19.3%","9.7%","5.7%","4.6%","52,517","72,608","","(X)","29.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,474","3.6%","0.0%","7.9%","9.0%","10.5%","13.8%","26.1%","14.9%","8.0%","6.2%","80,662","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,630","20.6%","25.6%","27.5%","9.7%","3.0%","6.4%","4.6%","0.6%","0.6%","1.2%","15,957","27,105","","(X)","(X)","41.3%"
"Webster County, Mississippi","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,699","9.7%","5.9%","12.9%","8.0%","12.2%","18.8%","20.1%","10.4%","0.8%","1.3%","52,382","58,366","","38.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,602","6.6%","2.8%","9.3%","6.3%","11.1%","24.9%","22.4%","13.7%","1.2%","1.7%","64,577","67,909","","(X)","37.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,949","1.5%","0.9%","4.5%","6.0%","11.4%","29.3%","28.1%","14.4%","1.5%","2.3%","71,722","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,097","17.6%","12.6%","21.5%","12.5%","14.3%","6.4%","12.6%","2.6%","0.0%","0.0%","23,899","34,823","","(X)","(X)","41.8%"
"Wilkinson County, Mississippi","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,345","8.3%","8.8%","25.5%","11.3%","20.7%","9.4%","8.6%","4.8%","0.7%","1.9%","30,760","46,538","","41.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,932","6.5%","9.6%","23.1%","7.7%","21.0%","6.7%","12.6%","8.3%","1.1%","3.3%","40,322","56,802","","(X)","42.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","930","2.5%","8.1%","7.8%","12.9%","18.6%","8.9%","14.6%","17.3%","2.4%","6.9%","50,227","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,413","10.7%","7.9%","28.7%","16.1%","20.4%","13.0%","3.2%","0.0%","0.0%","0.0%","27,468","32,503","","(X)","(X)","40.2%"
"Winston County, Mississippi","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,100","7.9%","8.9%","17.2%","12.0%","14.4%","16.1%","11.7%","8.2%","0.6%","2.9%","38,986","60,856","","49.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,594","4.9%","8.4%","12.4%","14.2%","12.6%","16.6%","15.0%","11.9%","1.0%","2.9%","47,455","68,629","","(X)","52.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,906","0.9%","3.5%","7.6%","11.0%","14.8%","18.2%","20.9%","17.5%","1.2%","4.3%","65,294","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,506","14.2%","12.2%","26.9%","7.7%","16.8%","12.1%","6.8%","0.4%","0.0%","2.8%","23,727","44,680","","(X)","(X)","42.2%"
"Yalobusha County, Mississippi","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,111","8.0%","10.0%","15.2%","9.6%","16.1%","21.5%","9.1%","8.4%","1.7%","0.3%","41,440","49,721","","40.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,226","3.6%","5.9%","11.6%","8.8%","18.7%","27.8%","12.9%","7.4%","2.8%","0.5%","51,588","57,338","","(X)","42.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,211","1.8%","3.3%","8.7%","3.9%","19.7%","33.2%","14.0%","10.7%","4.0%","0.8%","57,309","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,885","17.0%","17.7%","22.7%","11.8%","11.1%","9.2%","2.4%","8.1%","0.0%","0.0%","20,625","33,589","","(X)","(X)","35.2%"
"Yazoo County, Mississippi","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","8,577","14.8%","8.9%","15.9%","12.8%","13.2%","13.4%","8.6%","8.5%","2.6%","1.3%","32,729","51,957","","33.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,244","12.4%","5.4%","11.3%","14.9%","13.4%","14.0%","12.8%","11.6%","3.0%","1.3%","40,013","59,624","","(X)","34.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,543","5.0%","2.0%","2.6%","13.1%","12.4%","16.2%","19.5%","21.5%","5.9%","1.7%","73,275","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,333","20.3%","14.0%","28.7%","9.5%","10.6%","8.7%","2.8%","3.6%","0.6%","1.2%","19,175","35,309","","(X)","(X)","31.5%"
"Adair County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,078","11.3%","9.8%","13.0%","9.2%","13.5%","16.7%","10.5%","9.6%","3.6%","2.7%","42,301","64,792","","34.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,893","2.1%","3.7%","9.0%","7.5%","14.2%","21.9%","16.0%","16.0%","5.8%","3.8%","62,066","90,510","","(X)","34.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,899","1.6%","2.6%","6.0%","7.3%","11.6%","23.0%","18.0%","17.9%","7.1%","4.8%","71,709","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,185","22.3%","17.2%","18.4%","11.1%","12.8%","10.9%","3.3%","1.5%","1.0%","1.4%","20,622","33,591","","(X)","(X)","33.9%"
"Andrew County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,799","5.2%","4.2%","9.3%","9.8%","13.2%","18.8%","15.1%","16.8%","4.8%","2.8%","58,911","73,342","","36.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,722","2.2%","1.3%","4.9%","8.0%","15.0%","17.2%","20.1%","21.9%","6.0%","3.5%","76,775","85,973","","(X)","39.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,859","1.2%","0.4%","5.2%","5.1%","9.5%","18.9%","22.9%","25.9%","6.8%","4.1%","85,090","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,077","13.5%","10.9%","19.4%","16.2%","11.6%","16.4%","4.9%","4.8%","1.2%","1.3%","30,010","41,396","","(X)","(X)","30.5%"
"Atchison County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,549","3.7%","5.3%","12.7%","14.4%","11.5%","23.2%","10.7%","12.0%","3.1%","3.3%","51,625","65,108","","34.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,530","2.6%","2.3%","10.4%","12.6%","10.6%","22.9%","14.3%","15.4%","4.1%","4.7%","57,734","76,688","","(X)","35.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,224","0.0%","1.1%","6.0%","10.6%","9.9%","25.7%","16.9%","19.0%","5.1%","5.6%","70,625","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,019","7.9%","10.1%","17.5%","18.4%","12.5%","19.7%","5.9%","5.4%","1.7%","1.1%","32,532","44,651","","(X)","(X)","33.6%"
"Audrain County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,349","6.1%","3.6%","11.4%","17.0%","20.0%","15.7%","9.3%","11.6%","2.5%","2.8%","44,699","61,953","","45.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,138","4.7%","1.9%","8.5%","13.8%","19.1%","17.9%","12.5%","14.8%","3.5%","3.3%","52,030","70,784","","(X)","46.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,496","1.3%","1.7%","4.6%","11.3%","22.0%","18.8%","15.3%","15.9%","4.7%","4.4%","59,969","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,211","10.4%","6.6%","18.3%","22.6%","21.4%","11.6%","3.4%","3.9%","0.0%","1.7%","31,658","42,295","","(X)","(X)","43.3%"
"Barry County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","13,872","5.0%","6.3%","12.0%","12.5%","17.0%","19.1%","11.8%","10.6%","3.0%","2.7%","45,811","66,284","","38.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","9,746","3.1%","3.5%","8.1%","10.7%","15.6%","23.7%","14.8%","12.9%","4.2%","3.3%","56,930","77,398","","(X)","34.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","8,013","1.6%","2.6%","5.1%","9.1%","15.1%","24.8%","17.4%","15.3%","5.0%","4.0%","64,749","86,568","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,126","11.9%","13.7%","21.7%","15.7%","19.8%","9.4%","3.8%","3.1%","0.2%","0.6%","26,374","35,648","","(X)","(X)","45.2%"
"Barton County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,830","7.5%","7.6%","15.7%","9.8%","14.3%","18.3%","9.0%","11.3%","3.8%","2.5%","44,510","62,774","","37.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,209","5.1%","3.6%","10.6%","11.0%","13.4%","21.4%","9.8%","16.7%","5.8%","2.5%","55,485","74,635","","(X)","36.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,353","2.0%","3.0%","5.0%","8.4%","15.5%","26.9%","11.2%","19.2%","5.9%","2.9%","64,625","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,621","13.4%","15.6%","26.0%","10.4%","17.8%","8.5%","5.6%","1.0%","0.4%","1.2%","22,036","35,387","","(X)","(X)","39.3%"
"Bates County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,565","4.6%","7.8%","11.9%","13.3%","15.3%","17.0%","11.4%","12.7%","3.5%","2.5%","46,733","65,301","","32.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,430","2.3%","2.0%","6.9%","10.9%","16.0%","21.0%","14.7%","17.9%","4.5%","3.7%","63,250","81,151","","(X)","33.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,354","0.1%","0.6%","4.1%","10.4%","15.4%","22.4%","16.2%","20.1%","5.7%","4.9%","69,125","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,135","12.5%","19.8%","23.8%","17.8%","12.0%","9.7%","2.2%","2.2%","0.0%","0.0%","22,159","28,400","","(X)","(X)","29.4%"
"Benton County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","8,060","8.5%","6.0%","16.5%","12.6%","15.4%","15.9%","11.4%","9.5%","2.4%","1.8%","41,751","61,184","","31.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,247","6.6%","3.1%","8.3%","10.1%","17.4%","19.4%","16.5%","13.1%","3.2%","2.4%","53,943","76,489","","(X)","32.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,467","3.5%","2.7%","7.3%","8.9%","18.1%","20.8%","17.3%","14.9%","3.7%","2.6%","60,359","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,813","15.9%","12.2%","29.4%","17.3%","10.5%","8.4%","2.3%","2.5%","0.9%","0.7%","22,375","31,258","","(X)","(X)","30.4%"
"Bollinger County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,426","5.4%","9.0%","16.3%","10.9%","12.2%","21.4%","12.0%","10.1%","1.6%","1.2%","45,140","55,029","","47.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,944","1.6%","3.7%","10.2%","10.2%","14.2%","26.4%","15.9%","15.1%","1.8%","0.9%","60,766","65,463","","(X)","48.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,467","0.5%","2.8%","7.5%","10.1%","12.2%","28.5%","18.6%","16.5%","2.1%","1.1%","66,146","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,482","13.3%","19.5%","28.9%","13.5%","8.9%","9.8%","3.2%","0.9%","1.1%","0.8%","20,759","29,411","","(X)","(X)","44.1%"
"Boone County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","71,919","7.2%","3.9%","9.5%","9.8%","13.0%","17.9%","13.0%","13.8%","5.3%","6.7%","58,740","79,251","","28.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","41,144","2.4%","1.9%","5.1%","6.3%","11.5%","19.1%","15.5%","20.0%","7.7%","10.5%","80,817","102,381","","(X)","30.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","31,736","1.0%","0.9%","2.4%","4.1%","9.3%","18.4%","17.8%","24.0%","9.5%","12.6%","93,738","116,294","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","30,775","14.1%","6.8%","16.5%","14.4%","16.2%","15.7%","8.5%","4.6%","1.9%","1.3%","33,301","45,651","","(X)","(X)","25.9%"
"Buchanan County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","33,642","7.5%","5.7%","11.0%","11.1%","13.2%","19.5%","12.8%","12.0%","4.0%","3.1%","51,933","66,784","","34.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","20,292","4.7%","2.7%","6.7%","8.4%","14.5%","21.2%","15.1%","16.7%","6.1%","3.9%","63,176","80,972","","(X)","36.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","14,487","1.3%","1.4%","2.8%","7.8%","13.8%","21.2%","17.5%","21.5%","7.4%","5.2%","76,598","94,253","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","13,350","13.3%","10.6%","19.0%","15.0%","13.1%","15.3%","7.3%","3.9%","0.5%","1.8%","28,988","41,162","","(X)","(X)","30.1%"
"Butler County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","16,358","9.9%","7.5%","13.4%","11.3%","17.3%","17.9%","10.5%","8.1%","1.6%","2.7%","42,227","56,276","","30.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","10,467","4.5%","4.3%","9.9%","10.1%","19.6%","20.1%","14.9%","10.5%","2.1%","3.9%","52,018","68,889","","(X)","30.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","7,297","0.7%","1.4%","6.7%","8.2%","19.8%","22.4%","18.9%","14.3%","2.9%","4.7%","63,897","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,891","22.3%","13.6%","21.3%","12.8%","12.5%","12.1%","2.6%","1.9%","0.6%","0.4%","19,915","30,534","","(X)","(X)","29.7%"
"Caldwell County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,703","4.9%","5.1%","12.3%","12.2%","13.6%","23.2%","12.9%","11.8%","2.8%","1.2%","51,451","60,986","","45.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,489","2.8%","3.8%","8.9%","11.0%","12.7%","24.6%","15.7%","14.6%","4.0%","1.8%","61,671","70,323","","(X)","45.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,973","1.9%","3.0%","8.2%","6.6%","11.5%","25.7%","18.5%","17.1%","5.1%","2.3%","67,114","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,214","10.3%","8.2%","20.0%","16.6%","14.4%","22.4%","2.8%","5.3%","0.0%","0.0%","32,933","38,059","","(X)","(X)","41.5%"
"Callaway County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","16,233","4.0%","3.0%","9.7%","8.9%","14.7%","24.0%","14.8%","15.0%","3.6%","2.2%","59,835","70,966","","35.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","11,093","3.4%","1.1%","4.9%","7.9%","13.2%","25.2%","18.3%","18.4%","4.8%","3.0%","70,206","79,692","","(X)","37.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","8,732","0.6%","1.3%","2.0%","4.2%","13.4%","25.4%","22.1%","21.4%","5.8%","3.8%","79,144","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,140","8.4%","7.3%","20.0%","13.2%","16.6%","21.2%","5.6%","6.9%","0.4%","0.5%","36,161","47,828","","(X)","(X)","30.0%"
"Camden County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","17,300","8.4%","5.1%","7.2%","10.9%","14.2%","18.5%","11.1%","15.5%","3.7%","5.4%","53,520","74,447","","35.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","11,732","4.5%","3.0%","4.9%","7.9%","14.3%","20.6%","13.3%","19.1%","5.4%","6.8%","68,892","87,036","","(X)","37.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","10,149","3.1%","1.4%","4.0%","7.4%","13.9%","20.7%","14.0%","21.8%","6.2%","7.7%","74,488","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,568","18.1%","11.0%","12.8%","16.0%","12.1%","13.8%","6.8%","7.3%","0.4%","1.6%","29,658","45,706","","(X)","(X)","30.2%"
"Cape Girardeau County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","30,215","7.4%","4.5%","9.8%","10.8%","13.6%","19.0%","15.4%","11.8%","4.2%","3.5%","53,776","69,357","","38.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","18,717","2.0%","2.7%","5.6%","7.4%","14.0%","21.7%","18.3%","17.2%","6.3%","4.9%","71,022","85,957","","(X)","39.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","14,665","1.1%","1.0%","4.0%","5.7%","11.8%","21.4%","21.3%","19.9%","7.9%","5.9%","80,189","95,993","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","11,498","16.7%","8.3%","16.9%","17.0%","13.4%","14.0%","10.0%","2.3%","0.5%","1.0%","29,210","39,798","","(X)","(X)","36.2%"
"Carroll County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,518","4.7%","2.8%","17.5%","11.6%","11.4%","20.4%","13.2%","11.7%","4.1%","2.5%","51,414","64,153","","39.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,486","2.8%","1.2%","15.4%","9.3%","10.5%","21.7%","15.3%","14.8%","5.7%","3.3%","61,356","73,926","","(X)","37.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,973","0.8%","0.1%","9.3%","6.9%","10.3%","25.1%","18.4%","17.7%","7.1%","4.2%","72,620","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,032","11.0%","7.1%","27.7%","17.6%","15.3%","12.5%","4.0%","4.0%","0.2%","0.6%","26,295","35,756","","(X)","(X)","41.7%"
"Carter County, Missouri","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,334","9.3%","5.0%","10.3%","13.5%","16.8%","20.0%","6.7%","10.7%","7.3%","0.6%","42,403","58,796","","31.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,550","2.2%","3.1%","4.4%","14.8%","14.6%","25.0%","12.6%","11.5%","11.0%","0.9%","61,512","72,636","","(X)","27.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
